stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,lateral_line,mesenchyme,neural,otic,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0.81,1.56,0,0
 24-34,0,0.69,0,0,0,0,0,0,0,6.71,1.16,0,0,0,3.07,0,0
 36-46,0,0,0,0,0,0,0,0,0.87,8.96,0,3.07,0,0,0,0,0
 48-58,0,0,0,2.65,0,0,5.42,0,0,39.73,0,0,0,0,6.67,0,0.91
 60-70,0,0,4.71,21.35,1.13,0,0.95,0,0,124.67,0,0,0,0,5.5,0,0
 72-82,0,0,0,7.99,2.03,0,3.14,0,0.77,45.46,0,0,0,0,3.13,1.24,0
 84-94,0,0,0,13.09,3.98,0,0,1.05,0,50.5,1.36,0,0,0,0,0,0
 96-106,0,0,0,5.76,1.4,0,0.64,0,0,27.73,0,0,0,0,0,0,0
108-118,0.8,0,0,10.93,0.63,0,0,1.1,0.63,38.96,0,0.66,0.42,0,0,0,0
120,0,0,0,0,0,1.55,5.34,4.37,1.39,86.6,0,0,0,0,1.19,0,0
