stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.54,18.37,2.64,0,0.84,0,0,0,0,19.83,0,0,0,0,0,45.66,0,0,48.59,19.31,2.29,0,0,0,2.36,0,1.05,0,0.98,8.36,18.34,0,0,0,0,0
 24-34,0,0,1.34,16.64,0,0,2.6,0,0,0,2.03,0.82,0,1.37,0,0,24.35,76.06,0.68,1.63,52.66,39.04,4.89,2.5,0,0,7.71,0,0.97,0,0,0.72,29.39,0,0,0,0,0
 36-46,0,1.04,0,3.75,0,0,2.35,0,0.58,0,3.39,0,0,0.93,0,0,12.75,85.79,0,22.3,37.24,85.26,5.06,0.61,0,0.77,24.16,0,0,0,0,0,65.26,0,0,0,0,0
 48-58,0,1.52,0,18.29,0.67,0,27.63,1.16,0,0,4.67,0,0.54,1.23,0,0.39,8.5,92.49,0,34.93,27.03,40.49,6.05,2.38,0,0.87,14.6,0,0,0,0,0,22.43,0,0.42,0,0.78,0
 60-70,0,0,0,11.05,0,0,259.24,0,0,1.67,6.55,0,0,0,0,0,4.71,71.73,0,33.23,7.67,65.45,0,0,0,0,7.52,0,0,0.58,0,0,24.78,1.83,1.95,0,3.64,0
 72-82,0,1.48,0,14.83,3.71,0,731.85,4.55,0.71,1.27,27.33,1.28,0,0,0,4.18,5.31,89.16,0,24.24,10.94,89.32,0,2.6,0,0,0,0,0,0.97,0,0,4.66,0,5.41,0,26.68,0
 84-94,0,0,0,11.79,0,0,383.02,2.12,0,0,15.02,0,0,0.7,0,1.02,6.23,110.35,0,53.93,0.84,52.11,0,1.39,0,0,13.95,0,0,0,0,0,4.94,0,7.51,1.26,27.19,0
 96-106,0,1.25,0,14.1,0,0,476.01,2.09,0.69,4.85,11.7,0,0,0,0,0,15.08,92.42,0,19.24,10.61,59.17,0,0,0,3.62,3.64,0,0,0,0,0,7.07,1.01,1.84,0,37.38,0
108-118,0,0.65,0,23.94,0.61,0.5,506.28,0,0,0.79,7.56,0,0,0,2.94,0.53,9.88,109.17,4.11,27.42,9.07,62.42,0,1.96,0,5.95,6.29,0,0,0,0,0,4.52,1.33,3.06,2.64,24.62,5.69
120,0,0,0,15.64,0,0,298.26,1.25,0,2.12,11.71,4.74,0,0,1.12,3.65,8.77,83,0,57.81,3.87,32.44,0,0,39.68,0,0,2.5,0,0,0,0,6.95,1.14,2.73,0,49.37,8.94
