stage,blastomeres,epidermis,eye,immune,mesenchyme,neural,paraxial.mesoderm,spinal.cord
  5-6,15.71,0,0,0,0,0,0,0
  7-9,5.96,0,0,0,0,12.7,14.15,0
 10-12,0,0,0,0,0,14.12,6.96,0
 14-21,0,0.99,0,0,0,0,0,0
 24-34,0,0.6,0,0,0,1.9,0,1.37
 36-46,0,0,0,0,0,13.39,0,0
 48-58,0,0,5.22,1.17,0,8.24,0,9.96
 60-70,0,0,0,1.57,0,9.89,0,0
 72-82,0,5.56,0,0,0,7.7,0,0
 84-94,0,0,2.71,1.54,1.64,0.64,0,1.55
 96-106,0,0,0.75,1.82,0,2.64,0,0
108-118,0,0,4.04,3.95,0,5,0,0
120,0,0,0,1.75,0,8.55,0,0
