stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,143.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.07,0,0,0,0,0,0,0,0,0
  5-6,14.77,122.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,9.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.43,25.15,0,10.28,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.01,3.63,0,0,0,0,0,0,0,0,0,0,0,4.33,3.57,8.53,0,1.65,28.56,5.82,1.02,1.73,0,0,1.19,0.9,0,4.58,2.72,0,2.45,0,1.03
 24-34,0,0,0,1.87,0,0,2.41,0,0,1.13,0,0,6.98,2.12,0,0,0,3.46,33.94,0.69,7.68,42.96,3.74,4.52,0,0,0,0,0.84,0,0,2.79,0,40.39,0,30.26
 36-46,0,0,0,0.83,0,0,2.02,0,4.07,7.82,0,0,2.57,6.89,12.49,0.6,0,9.84,91.58,0,15.81,46.46,6.54,2.27,0,0,0,0,15.54,0,0,10.11,0,19.05,0,48.33
 48-58,0,0,0.43,0.56,1.73,0,8.91,0,0.86,26.08,0,0,1.56,19.36,0.97,0,0,2.17,122.88,0.5,5.58,40.94,5.17,2.51,0,0,0,0,0,0,0,11.97,0,7.19,0,30.82
 60-70,0,0,0,1.85,0,0,5.8,0,6.35,41.14,0,0,2.84,7.21,2.22,0,0,1.19,185.66,4.8,10.03,39.32,1.75,2.75,0,0,0,0,0,0,0,7.4,1.6,20.35,1.53,34.47
 72-82,0,0,0,1.89,0,0,17.06,0,4.55,35.44,0,0,5.03,6.18,0,0,1.51,0,178.14,5.48,4.12,31.7,0.55,2.92,0,6.19,0,0,0,0,0,18.63,8.16,16.16,9.12,22.03
 84-94,0,0,0,0.76,0.93,0,44.13,0,4.35,59.28,0,1.22,1.22,10.81,7.52,1.23,0,0,197.17,14.48,11.28,17.07,3.9,7.33,0,0,0,0,1.59,0,0,6.07,8.57,28.93,3.11,36.98
 96-106,0,0,0,1.77,0,0,10.97,0,5.91,50.8,0.66,0,1.7,6.37,3.93,2.98,0.6,0,145.25,10.42,5.54,24.69,2.07,12.7,0,1.47,0,0,2.15,0,0,9.88,3.8,21.07,8.33,29.95
108-118,0,0,0,4,0.83,0.57,42.78,0.46,2.59,44.77,0.57,0,0,16.65,7.05,0,0,0.47,135.98,3.78,1.09,39.52,0.93,16.09,0,18.77,0,0,2.9,0,0,12.87,3.48,15.8,5.15,32.08
120,0,0,0,1.4,0,0,26.84,0,11.64,57.46,1.28,0,0,11.02,1.91,0,0,0,136.66,9.55,5.93,10.26,1.17,3.1,0,19.8,0,0,2.89,1.32,0,2.39,0,37.91,0,0
