stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,510.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74,0,0,0,0,0,0,0
  5-6,290.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,0.86,0,0,0,1.95,1.1,1.96,0,0,0,0,0,0,0,0,22.58,0,0,0,0,0,11.92,0,0,0.84,0,2.45
 24-34,0,0.8,0,0,0,0,0,0,3.63,0,0,0,2.66,0.97,0,0,0,123.57,0,9.1,0,3.67,2.17,33.39,0,0,0.78,0,0.62
 36-46,0,0,0,8.12,2,0,0,0.65,3.54,0,0,0,2.61,0,0,0,1.15,306.33,0,4.57,0,0,0,72.98,0,0,0,0,3.16
 48-58,0,0.42,3.5,44.22,7.39,0,0,0,1.88,0,0,0,7.41,1.24,0,0,0.51,435.38,0,0.73,0,0.55,0,69.67,0,0.51,0,0,0.63
 60-70,0,1.59,1.15,134.44,8.72,0,1.21,0,20.72,0,0,0,0,8.62,0,0,0,595.73,0,0.88,1.42,0.78,1.06,87.71,0.81,0,4.46,0,9.48
 72-82,0,0.57,0,236.8,8.35,0.73,0,0,12.47,0,0,0,0,4.98,1.61,0,0,492.54,0,2.14,0,0,0,34.58,0,0,6.12,1.33,12.75
 84-94,0,0,0.6,174.94,10.93,3.25,0,0,9.43,0,0,0,1.97,5.99,0,4.57,0.6,353.57,0,0,0,0,3.17,25.94,1.53,0,0,0,0
 96-106,0,0,7.29,153.05,21.58,2.56,0,0,5.78,0.86,0.74,0.63,0,7.5,0,1.1,0,274.36,0,0.66,1.07,0.8,0,5.6,0,0,2.26,1.15,0
108-118,0,1.11,1.68,115.66,11.28,0.47,0,0,12.77,2.16,0.66,0,3.91,9.15,0,0,0,359.09,0,0.81,0,5.81,0,13.29,0.43,0,0.93,0,1.68
120,0,0,2.81,132.36,7.07,6.46,0,0,19.78,0,0,0,0,29,0,0,0,540.79,0,6.26,0,1.32,0,21.07,0,0,0,0,0
