stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,20.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.02,0,13,0,0,0,0,0
 10-12,18,5.47,0,0,0,0,0,0,21.34,0,0,4.43,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,8.04,0.61,0,0,0,1.92,0,0
 36-46,0,0,0,0,0,0,0,0,0,10.89,0,3.73,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,1.29,0,2.96,0.63,17.08,0,0,0,0,3.06,0,0
 60-70,0,0,0,0,0,6.36,0,0.92,0,5.09,0,4.43,0,0,0,0.62,5.14,0,0
 72-82,0,0,0,0.72,0,2.27,0,0,0,2.43,0.65,8.23,0,0,0,0,0,0,0
 84-94,0,0,0,9.51,0,2.72,0,0,0,1.18,0,2.8,0,0,0,0,5.04,0,0
 96-106,0,0,0.73,0,0,5,0.68,0,0,0,0,2.02,0,0,1.32,0,0,0,0.6
108-118,0,0,1.56,0,0.5,1.88,0,2.73,0,0,0,1.02,0,0,0,0,0,1.42,0
120,0,0,0,0,0,2.53,0,18.05,0,0,0,13.46,0,0,0,0,0,0,0
