stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,595.76,9743.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.34,0,0,0,0,0,0,0,0,0,0
  5-6,241.75,5122.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.02,0,0,0,32.56,136.33,0,0,0,0,0,0,0,0,0,0
  7-9,29.95,16.31,0,22.87,0,0,0,37.43,0,0,0,0,0,11.69,0,0,0,0,0,0,0,367.52,33.91,0,0,90.88,0,50.4,0,0,0,0,0,0,0,0,0
 10-12,0,14.63,0,0,0,0,0,45.45,0,0,0,0,0,5.8,0,0,0,0,0,0,0,502.88,12.57,0,0,35.78,0,3.78,0,18.78,0,0,0,0,0,0,0
 14-21,0,0,1.13,2.4,32.83,1.92,0,30.5,0,0.87,0,2.04,0,2.35,0,0,0,0,6.46,0,2.45,127.46,0,0,0,1.78,5.73,0,6.23,0,6.81,19.25,18.13,0,0,0,0
 24-34,0,0,0,1.61,19.64,1.01,0,14.06,0,2.91,0,4.81,0,0,17.74,0,0,0,3.73,0,1.75,78.5,0.74,0,0,0,3.85,0,0,0,0.69,5.97,10.44,0,0,2.01,0
 36-46,0,0,0,0,0.58,0,0,4.21,0,0,0,2.71,0,0,13.1,0,0,0,3.07,0,0,44.48,0.61,0,0,0,3.15,0,0,0,6.12,0,7.24,0,0,0.71,0.67
 48-58,0,0,0,0,5.66,0,0,5.39,1.78,0.9,0.94,6.88,0,0,4,0,0,0,3.81,0,1.33,18.83,0.51,0.48,0,0,15.88,0,0,0,1.01,0,2.25,0,0,0,0
 60-70,0,0,0,0,5.77,0,0,16.75,0,4.69,0,2.48,0,0,22.06,0,0,0,10.01,0,0.58,5.05,0,0,0,0,3.72,0,0,0,0,0,4.31,0,2.13,0,0
 72-82,0,0,0,0,5.6,0,0,4.84,0,3.49,1.34,4.18,0,0,3.63,0,0,0,7.62,0,1.17,11.02,0,0,0.55,0,7.19,0,0,1.99,0,0,0.61,0,0,0,0
 84-94,0,0,0,0,3.15,0,0,6.22,0,2.58,0.69,7.52,0.88,0,8.55,0,0.59,0.95,16.12,0,0,5.49,0,0,1.17,0,5.29,0,0,0.6,0,0,0,0,0,0.6,0
 96-106,0,0,0,0,2.73,8.17,0,8.38,0,2.37,0,1.21,0,0,5.6,0.92,0.59,0,19.27,0,0,7.62,0.79,0,3.89,0,3.22,0,0,0.73,0,0,0,0.99,1.08,3.29,0
108-118,0,0,0,0,5.11,0.73,0,3.32,0,3.26,1.75,1.88,0,0,4.57,1.43,1.74,0,17.36,0.49,2.05,17.18,0,1.55,0.64,0,5.18,0,0,0,0.69,0,0,0,0.75,0.62,0
120,0,0,0,0,15.55,0,2.68,2.04,0,0,0,0,0,0,5.37,0,0,0,17.42,0,0,24.7,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0
