stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,23.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.03,1.24,0,0,5.51,1.44,0,0,0,0,0,0.84,0,0,0,10.94,0,0.92,1.28,0,0,4.33,0.92,7.33,0,0,0,0
 24-34,0,0,3.95,1.89,0.74,0,3.14,0,0,0,0.77,0.68,0,7.95,0,0,0,61.1,0.62,0.78,1.23,0,1.9,3.43,0,13.07,0,0.91,0,0
 36-46,0,0,0,7.09,0,0,2.41,0,0,0,0,0,0,18.34,1.49,0,1.1,84.41,7.81,0,0.67,0,0.78,0.95,0,13.61,0,0,0,0.66
 48-58,0,0,0,23.25,0,0,12.94,0,0,0.7,0,1.39,0,15.93,0.49,0,1.99,122.78,0.51,1.46,0,0.56,0.38,0,0,25.35,0,1.36,0,0
 60-70,0,0,0.93,17.85,1.28,0,3.11,0,0,7.17,0,2.05,0,17.92,0,12.48,0,81.51,0,1.22,0,0,0,0,0,2.26,0,0,0,0
 72-82,0,0,5.95,33.36,0,0.59,5.42,0,0,6.92,0,1.43,0,60.76,0,0,3.35,61.13,0,2.82,7.53,0,0.51,0,0,11.14,0,0,0,0
 84-94,0,0,4.13,33.59,1.03,0,3.73,0.57,0,0.7,0,0,2.16,24.54,0,0,3.73,25.08,0,2.57,0,0.6,4.94,0.58,0,0,0,6.02,3.29,0
 96-106,0,0,0,38.91,0,0,0.8,1.29,0,4.15,0,1.21,0,48.42,0,2.73,1.68,20.13,0,3.5,3.82,0,0,0,0,0,0,2.8,0.8,0
108-118,0,0.61,9.37,22.45,0,0,12.77,2.61,0,2.88,0,0.53,0,34.15,0,0,2.48,39.34,0,2.54,5.85,0,0,0,0,0.47,0.88,0.84,0,0
120,0,0,13.23,70.78,1.11,0,59.06,0,2.63,1.01,0,0,0,5.43,14.82,13.09,0,140.83,0,22.08,7.82,0,2.58,5.56,0,0,2.93,0,0,0
