stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,gut,hatching.gland,ionocyte,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,74.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.1,0,15.19,0,0,20.16,0,5.76,0,0,114.47,0,34.05,0,0,0
 10-12,9.65,0,0,0,0,6.37,0,7.63,0,0,100.37,0,42.64,0,0,0
 14-21,0,0,0,0,1.14,0,0,0,0,1.44,3.84,0,0,0,1.72,0
 24-34,0,0,0,0.83,0,0,0,0,0,0.67,1.2,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.28,2.29,0,0,0,1.78
 48-58,0,0,0,0,0,0,0,0,0,0,0.83,1.25,0,0,0,0
 60-70,0,1.23,0,0,0,0,0,0,0,0,7.21,2.5,0,0,0,0
 72-82,0,3.97,0,0,0,0,6.84,0,0,0,0,3.39,0,0,0,0
 84-94,0,0,0,0,0,0,6.97,0,0.68,0,0,0.91,0,0,0,0
 96-106,0,4.98,0,0,0,0,15.55,0,0,0,0,5.77,0,4.25,0,0
108-118,0,1.66,0,0.96,0,0,6.61,0,0,0,0,0.48,0,0,0,0
120,0,3.73,0,0,2.67,0,34.75,0,0,0,0,0,0,0,0,0
