stage,eye,mesenchyme,neural,periderm,spinal_cord,taste
 10-12,0,0,5.65,0,0,0
 14-21,0,1.32,0,0,0,0
 60-70,0,0,1.4,0,0,0
 72-82,2.82,1.07,0.8,2.49,0,2.37
 84-94,0,0,1.63,10.6,2.65,17.3
 96-106,5.24,0,0,0,0,45.27
108-118,14.42,0,1.52,21.8,0,31.06
120,0,0,14.06,2.46,0,6.78
