stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,iridophores,liver,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  5-6,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0
 14-21,0,0,14.99,0.93,0,0,0,0,0,0,0,1.7,0,13.49,0,0,0,0,1.05,0.9,0,0,0
 24-34,0,0,3.57,0,0,0,0,0,0.76,0,0,1.23,0,0.76,0,0,0,0.73,0,0.72,1.45,0,0
 36-46,0,0,4.54,0,0.75,0,0,0.75,0,0,0,2.94,0,0.92,0,0,0,2.61,0,0,0,0,0
 48-58,0,0,3.79,0,1.05,0,2.74,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,3.91
 60-70,0,0,8.79,0,0,0,2.45,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.49,0,0.76,0,1.29,0,0,0,0.62,3.18,0.72,1.05,1.49,0,0,0,0,0,0,0,0
 84-94,0,0,1.6,0,0,0.56,1.27,0.61,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,8.49,0,0,0,0,0,0,0,0,7.17,0,0,2.64,0,0,0,0,0,0,0.71,0
108-118,0,0.49,6.66,0,0,0,1.63,1.33,0,0.61,0,2.46,0,0,0,0.9,0,0,0,0,0,0,0
120,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
