stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.39,791.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.53,0,0,0,0,0,0,0,0,0,0
  5-6,45.58,680.8,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.81,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.01,4.23,0,0,17.35,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.88,1.61,0.84,0,0,61.34,0,0,0,0,0,6.84,0,0,29.97,2.37,10.23,2.85,0,0,1.07,0,2.25,48.83,46.85,129.8,0,0,0,0,0
 24-34,0,0,1.05,0,1.56,0,0,0,0,63.42,0,0,0,0,0,5.98,0,6.73,67.72,0,60.89,0,0,0,6.73,0,0,58.49,10.24,131.49,0,0,4.78,0,0
 36-46,0,0,0,0,0.69,0,5.32,0,0,59.63,0,0,0,0.85,2.88,7.45,0,0.68,73.55,0,84.71,0,0,0,7.79,0,0,30.18,0,118.3,0,0,1.88,0,0
 48-58,0,0,0,0,2.12,3.01,11.7,0.54,0,82.32,0.42,2.48,0,0,2.99,4.45,0,1.53,43.02,0,89.94,0,0,0,7.21,0,0,12.81,0,154.26,0,0,0,0,0.47
 60-70,0,0,1.79,0,10.2,0,8.62,0.59,2.52,145.47,0,0,0,0,0,20.9,1.53,2.89,73.61,0,78.28,0,0,0,6.01,0,0,4.16,0,137.03,0,0,0,0,0
 72-82,0,0,0,0,0,3.5,11,0,0,138.85,0,0,0,0,0.58,2.43,0,0.97,25.86,0,117.01,0,0,0,4.36,0,0,2.11,0,55.9,0,0.68,0,0,0
 84-94,0,0,0,0.74,0,0,33.91,0,0,132.01,0,0,0.9,0,0.88,2.63,0,0,44.74,3.16,134.01,0.66,0,1.49,5.33,2.8,0,7.01,0,92.26,1.17,0,0,0,0
 96-106,0,0,0.74,0,0,0,14.51,0,0,94.93,0,2.31,0,0,0,6.34,0,3.8,45.5,0,136.26,0,0,0,0,0,0,1.97,0,50.6,0,0,5.54,0.91,0
108-118,0,0,0,1.06,2.61,0,23.44,0,0,92.31,1.9,1.49,0,0,5.3,11.29,0,0,37.44,0,84.83,0,0,0,0.48,0,0,6.25,0,43.85,0.67,0,1.16,0,0.98
120,0,0,0,0,3.38,0,24.39,0,0,58.94,0,0,0,0,0,8.77,0,1.24,26.89,0,106.81,0,0,0,2.41,0,0,10.5,0,33.76,0,1.52,0,16.23,0
