stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0
 14-21,9.68,0,25.03,0,0,0,0,0.89,0,0,0,0,2.74,0,0.81,5.11,0,0,0,0,0,1.31,4.85,0,1.06,0,0,0,0
 24-34,1.68,0,108.4,0,1.07,0,0,1.58,0,0,0,0,14.29,0,9.92,13.69,0,0,0,0,0,0,0,1.27,4.31,0,0,0,0
 36-46,3.09,0,103.11,0,8.75,1.92,0,9.47,0,0,0,0,117.18,0,76.32,23.74,0,0,0,0,0,0,0.86,1.04,4.29,0,12.69,0,0
 48-58,0,0,48.4,0,2.94,0.77,0,0.87,0,0,0,0,158.35,2.7,62.02,12.19,0,0,0,0,0,0,0,0,0.68,0,2.96,0,0
 60-70,0,0,42.11,0,45.36,9.05,4.34,0,0,0,0,0,249.99,4.41,43.24,16.62,0,0,0,12.39,0,0,0,0.63,5.89,0,24.71,9.46,2.88
 72-82,0,0.52,36.05,0,4.19,6.51,0,2.91,0,0,0,0,344.44,15.28,29.86,14.98,1.43,0.76,0,13.93,0.7,0,0,0,0,0,40.53,0,1.91
 84-94,0.87,0,43.61,0.56,16.06,2.88,0,0,0,0,0,0,247.87,12.11,14.3,1.77,0,0,0,15.83,0,0,0,0,0,0,40.51,0,3.74
 96-106,0.71,0,38.03,0,18.22,14.64,0,0,0.72,0,0,0.73,225.21,43.58,17.95,50.98,0,0,0,25.87,1.12,0,0,0,1.3,0,38.46,0.93,5.27
108-118,2.72,0.63,60.32,0,23.62,11.41,0,0,0,0.86,0,0,247.38,24.76,21.39,11.03,0,0,0,46.72,0,0,0,0,1.26,2.47,42.86,0,7.91
120,2.62,0,26.25,0,47.9,3.99,0,0,0,1.06,1.07,0,177.64,30.96,15.32,2.08,0,0,0,19.21,0,0,0,0,0,0,86.51,0,15.04
