stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,104.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.89,0,0,0,0,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0
 14-21,0,0.96,7.93,2.32,0,0.9,0,0,0,0,0,0,0.8,0,0,0,0.83,0,0,0.9,18.21,0.94,3.06,0,1.12,1.45,1.27,2.85,0,0,8.86,4.42,0,0,0
 24-34,0.83,1.84,3.18,0,0,0.66,0,0,1.33,0.73,0,0,0,0,0,0,4.16,0,0,0.61,32.08,0,0.78,1.16,0,12.04,0,0,0,0,3.35,3.26,0,0,0
 36-46,0,0,4.73,0,0,4.11,0,0.81,6.21,0,0,0,0,0,0,0,0.57,0,0,0,29.66,4.07,0,0,0,12.88,0.74,0,0,0,0,10.66,0,0,0
 48-58,0,0,2.23,0,0,15.63,0,0,0,0,0.54,0,0.98,0,0,0,1.65,0,0,0,58.31,0,0,0,0,6.59,0,0,0,0,0,1.31,0,0,0
 60-70,0,0,0.67,1.42,0,101.45,0,4.25,8.45,0,0,0,0,0,0,0,2.06,0,0,0,132.9,0,0,0,0,3.52,0,0,2.06,4.7,0,11.5,0,0,0
 72-82,0,0,1.09,0,0,133.16,0,0,9.88,1.23,0,0,1.27,0,1.06,0,7.88,0,0.96,0,114.75,0,0,0,0,4.52,0,0,0,0,0,15.07,0,0,0
 84-94,0,0,8.63,0,0,93.13,0,0,9.01,0,0,0,0,0,0,0,7.44,0,0,0.7,94.64,0,0.55,0.59,0,2.09,0,0,0,0,0,20.96,0,1.09,0.77
 96-106,0,0,8.68,0,1.13,815.44,0.59,0,9.74,1.93,0,0,0.64,0,22.2,13.39,10.54,2.37,0,0,167.78,0,1.08,1.63,0,33.35,0,0,1.5,0,0,8.67,0,0,0
108-118,0,0,12.05,0,0,172.18,0,4.79,5.96,1,0,1.52,0,0.64,0.6,0,18.19,0,0,0.55,101.16,0,8.78,1.79,0,17.15,0,0,0,0,0,1.22,3.03,3.86,0
120,0,0,6.63,0,0,371.3,1.3,0,27.39,2.48,0,0,1.89,0,0,0,10.94,0,0,1.1,154.79,0,0,2.87,0,7.94,0,0,0,0,0,17.5,3.57,8.83,0
