stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,hatching.gland,immune,mesenchyme,mural.cell,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature
  3-4,623.06,15159.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813.64,0,0,0,0
  5-6,419.69,5340.68,0,0,0,0,0,0,0,0,0,0,105.02,51.55,0,39.17,265.57,0,0,0,0
  7-9,67.76,31.64,44.57,0,112.49,0,0,0,19.92,0,0,0,1112.03,55.77,0,390.04,14.75,12.58,0,0,0
 10-12,0,0,13.3,0,13.83,0,0,0,26.21,0,0,0,127.49,23.13,0,61.22,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.16,0,2.83,0,0,0,2.42,0,1.02,0.89,0
 24-34,0,0,0.59,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,2.96,0
 36-46,0,0,0,2.29,0,0,0,0,0,0,0,0,3.09,0,0.94,0,0.98,0,0,6.3,2.81
 48-58,0,0,0,0,4.91,1.1,0,0,0,0,0.66,0,1.8,0,0,0,0,0,0,1.51,0
 60-70,0,0,0,0,0,0,0,0,0,9.93,0,0,0.84,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.98,0,0,0,0.52,1.19,7.04,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.8,0,0,0.89,0,0,1.48,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,2.89,0,0,0,2.73,0,0,0,0,0,0,0,0,0,4.23
120,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,1.12,0,0,0,0
