stage,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,neural,paraxial_mesoderm,vasculature
  7-9,0,0,0,0,0,0,0,0,0,6.27,0
 10-12,0,0,0,0,0,0,0,0,14.39,0,0
 14-21,0,1.91,1.09,1.81,0,0,0,1.8,0,0,0
 24-34,0,0,0,0,0,0,0.9,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.33,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.94
 60-70,0,0,0,0,0,3.29,0,0,0,0,0
 72-82,0,0,0,0,0,1.75,0,0,0,0,0
 84-94,0,0,0,0,0.56,1.69,0,0,0,0,0
 96-106,0,0,0,0,0,1.69,0,0,0,0,0
108-118,0.41,0.44,0,0,0,9.3,0,0,0,0,0
120,0,0,0,0,0,7.19,0,0,1.5,0,0
