stage,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0
 24-34,0.86,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0.74,0,0
 36-46,0,0,0.82,0,0,0,0,0,0,0,4.89,0,0,0,0,0,1.26,0,1.81
 48-58,0,0,0.47,0.4,0,0,0,0.4,0,0,3.56,0,0,0,0,0,0,0,0
 60-70,0,0,1.31,2.37,0,0,0,2.69,0,0,3.53,0,0,0,0,0,0,1,0
 72-82,0,0,0,1.71,0.53,0,0,1.11,0,0.62,0,0,1.18,0,0.83,0,0,0,0
 84-94,0.76,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0
 96-106,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0.84,1.3,0,0,0,0
108-118,1.06,2.32,1.88,0.66,0,0.85,3.88,3.67,0.83,0,3.02,0.44,0,3.38,0,0,0,0,0
120,0,0,0,2.57,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0
