stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,ionocyte,mesenchyme,mucous,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,15.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.57,0,4.16,0,0,0,0,0,0,0,0,10.05,0,4.53,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.46,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.15,0,0,0,0,0,0,8.44,0,0,0,1.19,0,0
 24-34,0,0,1.44,0,0,1.45,0,0,0,0,0,0,0,0,0,1.25,0,0,0
 36-46,0,0.84,1.92,0,0,0,0.61,0,0,1.9,0,0,6.09,0,0,4.11,7.32,0,0
 48-58,0,0,3.27,2.3,0,0,0,0,0,0.44,0.53,0,4.56,0,0,9.65,0.92,0,0
 60-70,0,0,2.18,0,0.8,0,0,0,0,0,1.14,0,0.94,0,0,5.53,0,4.2,0
 72-82,0,0,0.6,0.52,1.7,0,1.71,0,0,0,0,0,5.86,0,0,5.86,0,0,0
 84-94,0,0,8.01,0,0.57,0,0,0.97,0,0,0,0,8.05,0,0,6.44,0,0,0
 96-106,0,0,0.93,0,0,1.78,5.46,0,0,1.33,0,0,0,1.71,0,6.11,0,0,0.87
108-118,0,0,6.84,0,3.38,0,0.52,0,0.55,1.13,6.43,4.93,8.32,0,0,7.26,0,1.08,0
120,0,0,3.76,0,0,0,0,0,0,12.4,0,5.31,1.29,0,0,5.54,0,0,0
