stage,epidermis,erythrocytes,eye,glial,hatching_gland,immune,mesenchyme,mucous,neural,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0
 10-12,0,0,0,0,12.71,0,0,0,7.39,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.98,0,0,0,0,2.61
 24-34,0,0,1.15,0,0,0,2.37,0,7.99,0,1.43,0,0,3.29
 36-46,0.64,0,0,0,0,0,0,0,0.91,0,2.34,0.62,0,5.08
 48-58,0,0,0,2.75,0,0.39,0.46,0,5.02,0,0,0,0,5.56
 60-70,0,0,0,0,0,7.36,0.62,0,6.65,0,0,0,0,0
 72-82,0,0,0.89,0,0,1.2,0.84,0.92,0,0,0,0,0,3.53
 84-94,0,0,0.7,0,0,0,0,0,1.94,0,0,0,0,1.04
 96-106,0,0,0,0,0,1.67,2.73,0,2.66,0,3.23,0,0.66,0
108-118,0,1.64,0,0,0,0,0,0,3.33,1.18,0,0,0,4
120,0,0,8.94,0,0,15.64,0,0,20.65,0,3.89,2.98,0,11.58
