stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.4,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,25.85,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,0,2.39,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,0.81,2.73,6.45,1.27,1.01,1.27,0,0,0,0
 24-34,0,0,1.38,5.39,0,1.46,0,0,0,0.75,1.19,0,0,0,0,0,0,2.98,0,0,0,25.07,1.27,0,0,0,5.58,0,0,8.91,0,0,0,0
 36-46,0,0,0,0,0,3.69,0,0,0,3.84,0,0,0,0,0,0,0,2.52,0,0,0,48.8,1.27,0,0,0,2.64,0,0,6.43,0,5.24,0,0
 48-58,0,0,0.43,1.17,0,4.22,0.73,1.1,0.56,6.11,0.91,0,0,0,0,0,0.57,1.1,0.41,0,1.68,73.79,3.53,1.19,3.61,0,7.62,1.12,0,14.33,0,0,0,0
 60-70,0,0,0,3.35,0,13.08,0,1.15,0,9.92,0,0,0,0,0,0,0,15.4,0,0,0,93.81,2.62,0,4.02,0,1.74,0,0,13.21,0,1.04,0,0
 72-82,0,0,0,0.71,0,23.64,0,0,0,14.12,0.53,0,0,0,0,1.8,0,13.91,0,0,0,166.51,2.99,1.46,0.49,0,0.64,0,0,10.51,0,3.48,0,3.92
 84-94,0,1.33,0,8.42,0,21.59,0,0,0,5.9,0,0,0,0.92,0,0,0,6.2,0,0,0,113.08,0,0,2.04,0,0.74,0,0,8.78,0,3.29,0,0
 96-106,0,0.83,0,9.94,0,18.37,0,1.8,0,9.09,1.75,0,0,0.77,0.71,4.06,0,18.37,0,1.42,0,100.8,1.83,6.45,3.01,0,0,0,0,3.02,1.13,0,0,0
108-118,0,0,0,12.58,0,50.66,1.39,1.22,0,7.78,5.24,0,0.48,1.76,1.03,0,0,21.44,0,2.32,0.6,123.32,0.96,4.45,0,0,0.75,0,0,7.23,1.79,1.79,1.68,0
120,0,0,0,37.26,0,92.19,0,1.55,0,37.56,7.71,0,0,0,0,0,0,15.04,0,0,0,426.41,8.55,19.92,4.39,0,7.49,0,0,20.23,1.84,9.72,0,0
