stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,78.96,2174.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.33,0,0,0,0,0,0,0
  5-6,7.22,800.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,147.93,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.15,0,0,0,0,3.3,0,0,0,0,0,0,0,0,97.35,0,0,9.56,52.73,5.11,0,0,0,0,0,0
 10-12,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.49,0,0,7.03,22.19,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,4.24,0,0,1.3,0,0,0,0,0,0,7.67,0,0,0,0,0,0,10.21,0,2.51,0,49.51,0,0,0.95,1.06,0,0,0
 24-34,0,0,0,1.18,3.23,0,0,3.52,0,0,0,4.33,0,3.83,6.24,3.2,0,0,0.67,0,0,29.3,12.8,0.74,0,125.69,0,0,0,0.62,0,0,0
 36-46,0,0,0,0,27.77,0,0,0.78,0,0,1.19,0,14.61,0,4.45,0,0,0,2.04,0,0,30.52,2.46,2.68,0,163.53,0,0,0,3.31,0,0,0
 48-58,0,0,0,0,4.64,0,0,4.06,0,0.6,2.15,0,18.15,0,1.08,6.03,0,2.36,0,0,0,11.19,5.7,1.36,0,73.04,0,0,0,1.79,0,0,0
 60-70,0,0,0,0,4.21,0,0,2.97,1.96,0,0.58,4.13,8.61,0,0,1.29,0,0.58,0,0,0,5.67,3.8,4.5,0,78.61,0,0,0,1.51,0,0,0.82
 72-82,0,0,1.07,0,7.23,0,0,8.82,0,0,0,5.42,5.16,0,4.61,4.46,0.77,0,3.45,0,0,7.86,8.19,4.98,0,72.41,0,1.09,0,0,0,0,0
 84-94,0,0,1.74,1.01,18.63,0,0,9.7,7.17,0,0,23.33,13.74,0,13.31,8.17,0.82,0,5.05,0,0.68,6.18,9.39,3.54,0,178.05,0,0,0,6.17,3.18,1.96,0
 96-106,0,0,2.68,0.86,24.87,0,0,8.65,1.6,0,2.42,34.02,2.64,0,10.7,8.1,11.06,1.43,3.13,0,0,11.61,14.47,14.27,0,145.5,0,0,0,0,6.31,0,0
108-118,0,0,6.89,1.24,38.54,1.42,0,27.61,7.81,0,7.43,50.38,0,2.1,8.97,6.2,3.43,2.84,5.98,1.11,0.44,18.06,5.37,6.19,0,156.84,0,1.05,0,0.96,8.51,0,0
120,0,0,0,0,26.38,0,1.03,7.15,7.76,0,0,50,0,0,19.02,3.51,0,2.5,2.05,0,0,25.93,1.57,4.41,0,141.69,0,0,0,0,2.56,0,0
