stage,epidermis,eye,immune,neural,paraxial.mesoderm,periderm,vasculature
  7-9,0,0,0,3.95,4.94,0,0
 14-21,0,0,0,0.97,0,0,0
 24-34,0,0,0,0,0,6.2,0
 36-46,0,0,0,0,0,1.89,0
 48-58,0,2.08,0.39,0,0,7.01,1.89
 60-70,3.89,0,0.72,0,0,1.07,0
 72-82,0,0,0,0,0,2.18,0
 84-94,0,1.81,0,0,0,4.96,0
 96-106,0.57,0,1.5,1.2,0,4.09,0
108-118,0,0,1.31,2.15,0,2.86,0
120,7.35,0,0,0,0,2.93,0
