stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,75.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.03,0,0,0,0,11.09,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.68,0,0,0,6.19,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,3.24,0,0,42.6,0.81,0,0,0,0,3.04,7.27,0,0,0,0
 24-34,0,0,14.7,0,0,0.96,0,0,0,0,0,0,0,0,0,0,8.32,0,100.88,0,0,0,0,2.07,0,13.28,0,1.63,0,1.72
 36-46,0,0,7.46,0,0,0.81,0,0,5.14,0,0,0,0,0,0,2.19,0,1.15,70.02,0,0,0,0,5.72,0,25.05,0,3.99,0,0
 48-58,0,0,16.39,0,0,6.17,2.8,0,12.72,0,0,0,0,0,0,11.16,0,0.76,161.98,0,0.78,1.16,0,5.84,0,72.36,0,2.66,0,0
 60-70,0,0,3.87,0,0,12.63,0.9,0,23.11,0,0,0,0,0,0,15.64,0,1.92,228.39,0,0,0,0,5.95,0,31.71,0,0,0,0
 72-82,0,0,4.32,0,0,34.83,0,4.57,10.93,0,0,0,0,0.88,0,43.96,0,0,240.17,0,0,0,0,3.72,0,58.06,0,8.18,1.49,0
 84-94,0,0,10.31,0,0,40.62,1.11,0,7.24,0,0,0,0,0,0,13.19,0,0,173.62,0,0,0,0,10.61,0,39.95,0,10.24,3.4,0
 96-106,0,0,5.92,0,0.89,49.87,1.68,0,17.03,0,0,0,0,0,0,24.27,0,0,236.06,0,0,0,0,4.7,0,9.62,0,5.85,5.41,0
108-118,0,0,5.32,1.44,0,31.2,0,0,21.82,1.07,0,2.36,2.27,0,0,32.92,0,1.3,183.1,0,0,0,0,4.63,0,13.47,3.32,2.02,0.74,0
120,0,0,10.56,0,0,23.21,0,0,38.2,0,0,0,0,0,1.51,9.88,0,0,274.67,0,0,0,0,4.04,0,60.95,0,3.92,0,0
