stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,33.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.17,104.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.61,0,0,0,26.98,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,25.96,6.38,9.09,0.86,0.88,0,0.82,0,0,0.82,1.34,0,0,0,0,0,5.35,0,0,1.03,11.99,0.92,13.97,27.7,0,0,0,0,3.35,0,0,26.67,0,0,0,0,0
 24-34,0,0,13.06,0,3.65,0,13.07,0,0,0.79,1.01,1.65,2.51,0,0.7,0,0,0,0.73,0,0,1.51,89.1,0,18.68,80.53,0,0,0,0,0,0,0.64,33.72,0,0,0,0,0
 36-46,0,0,7.73,0,0,4.3,39.7,0,0,0,2.04,1.39,0,0,0,1.08,0,0,0,0,0,0,128.72,0,13.04,41.03,0,0,1.59,0,0,0,0,42.87,0,0,0,0,0
 48-58,0,0,4.5,0,3.88,0,53.38,0,0,0,6.06,4.3,0,0,0,2.91,2,0.86,4.24,1.32,0,2.87,183.24,0,3.74,67.29,0,0,3.34,0,0,0,0,58.17,0,0,0,0,0
 60-70,0,0,16.1,0,3.11,0,114.25,0,0,3.21,68.01,35.05,0,0,0,0,3.91,9.78,8.54,0,2.81,2.92,50.98,0,3.6,58.57,0,0,5.79,0,0,0,0,49.25,0,1.32,0,0,9.12
 72-82,0,0,81.69,0,5,4.24,71.3,3.09,0,8.41,158.14,171.3,0,1.5,0,0,3.48,4.73,3.1,0,0,0,95.1,0,6.75,119.78,0,1.67,1.79,0,0,0,0,21.32,0,0.74,0,0,6.74
 84-94,0,0,61.63,0,4.08,2.08,58.7,1.38,0.6,0,160.24,338.6,0,0,0,0,13.54,6.93,6.21,0,1.37,2.38,58.48,0,5.6,239.71,0,0,13,0,0,0,0,34.5,1.14,8.74,0,1.37,0
 96-106,0,0,83.84,0,0.6,16.58,74.82,1.63,1.95,4.64,224.24,430.57,0,0,0.86,2.39,13.53,0,4.23,0,5.92,6.9,101.7,0,9.74,225.54,0,1.11,0.81,2.06,0,0,0,1.9,0,0,0,0,0
108-118,0,0,58.43,0.49,8.15,0,57.55,1.45,0,1.15,189.01,409.76,0,0.99,0.49,0,11.88,13.67,5.28,0,0,3.68,98.93,0,10.52,157.93,0,0,3.81,0,0,2,0,9.24,1.08,2.86,1.37,0,4.11
120,0,0,39.65,0,0,1.89,68.51,18.62,0,0,197.2,340.55,0,0,0,0,4.81,8.86,0,0,0,5.16,71.67,0,6.39,302.42,0,0,2.05,0,0,1.47,0,19.88,0,0,1.78,0,4.37
