stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,169.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.66,385.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.13,0,0,0,20.13,8.88,0,0,0,0,0,0,0,0,0
  7-9,8.76,42.39,0,8.74,0,0,18.12,0,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,171.3,0,0,0,43.84,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.86,0,12.48,20.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.47,4.69,0,0,74.91,0,0,13.72,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,5.79,2.63,4.98,0,0.88,0,0,0,0,0,0,0,0,0,1.94,4.15,0,2.74,95.22,0.82,0,1.24,3.09,0,12.6,1.04,0,12.42,35.37,0,0,0,0
 24-34,0,0,0,0,5.9,0,9.74,0,0,0,1.64,0.61,0,0,0,0.79,0,0,0,14.54,0,2.98,167.99,0.64,1.72,2.64,0,5.5,0,0,0,5.37,37.51,0,5,0,0
 36-46,0,0,0.98,0,1.27,0,15.61,0,0,0.89,4.14,0,0,1.06,0,0,0,0,8.41,11.21,0.8,1.9,122.89,0,1.36,1.39,0,29.83,0,0,0,0,16.6,0,2.12,0,1.78
 48-58,0,0,0,0,7.32,0,28.98,0,0,1.44,12.12,0,0,0.54,0,0.44,0,0,0.4,14.97,0.96,5.02,117.33,0,0.47,0.5,0,3.79,0,0,1.43,0,23.56,0,8.84,0.5,0.82
 60-70,0,0,0,0,0.84,0,42.69,0.6,0,9.29,8.77,1.57,0,0.58,0.98,0,0,0,0,14.14,0,7.21,92.72,0,2.67,1.49,0,1.86,0,0,0,0,8.94,0.6,0.63,0,0
 72-82,0,0,0,0,3.89,0,35.31,0,0,0,12.87,0,0,0,0.98,0,0,0,0.49,37.08,0,2.63,105.09,1.24,0.63,1.45,0,3.62,0,0,0,0,6.91,0.51,2.88,1.87,0
 84-94,0,0,0,0,1.98,0,36.58,0,0,2.37,21.96,5.22,0.6,0,0,0,0,0,0,19.61,0.57,0.96,62.71,0.74,3.23,1.36,0,14.01,0,1.07,0,0,6.29,0,0.83,0,0.73
 96-106,0,0,0,0,0.93,0,6.45,0,0.71,1.86,15.55,1.72,0,0,0,0,0,0,3.66,20.44,1.38,2.25,33.31,0,2.47,0,0,3.82,0,0,0,0,8.67,0,3.73,1.5,0
108-118,0,0,0,0,5.99,6.96,23.66,0,0,1.25,16.89,0,0,0,0,0,1.46,0.6,0,27.22,2.64,4.85,59.64,0.49,0.45,0.53,0,10.12,0,0,0,0,3.6,0,1.16,0,8.82
120,0,0,0,0,3.84,0,23.61,0,0,0,0,1.26,0,0,0,0,0,0,0,23.23,0,0,30.53,0,0,8.19,0,1.45,0,0,0,0,4.81,0,0,0,1.64
