stage,blastomeres,epidermis,eye,fin.epithelia,glial,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
  5-6,37.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.99,0,0,0,0,0,0,0,12.57,0,5.85,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.78,0,0,0,0,0
 14-21,0,0.84,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0
 24-34,0,0,0,0,0.77,0,0,0,0,0,11.91,0,0,0,0.61,0
 36-46,0,0,0,0,0,0,0,0,0.98,0.82,3.56,0.78,0,0,1.77,0
 48-58,0,0,2.6,2.85,0,0,0,0,0,0.47,7.9,0,0,0.9,0,0
 60-70,0,0,0.72,0,1.24,0,3.8,0,0,0,3.24,0,0,0,0,0
 72-82,0,0,0.49,0,0,0,0.55,0,0,0,1.99,0,0,0,0,0
 84-94,0,0,0,0.57,0,0,0,0,0,0,13.19,0,0,0,7.99,0.89
 96-106,0,0,0,0,1.5,0,0,1.26,0,0,0,0,0,0,0,0
108-118,0,0,2.8,0,0,0.78,0,0,0,0,6.12,0,0,0.81,0,0
120,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0,0
