stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,51.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,0,0,12.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.37,3.96,0,0,15.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.68,0,5.34,19.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.27,0,0,0,55.07,0,0,0,7.46,0,0,0,0,0,0,0
 14-21,0,0,0,2.97,0.91,1.89,0,0,0,0,1.82,0,0,0,0,0,0,0.86,4.15,0,0,8.88,44.98,6.48,0,2.23,0,0,0,2.08,0,2.29,22.51,0,0,0,0,0
 24-34,0,0,0,1.84,0,1.69,0,0,0,1.26,0,0,0,0,0,0.63,0,0,13.49,0,0,4.33,171.89,0.75,2.94,2.5,0,0,0,0,0,0,47.19,0,0,0,0,0
 36-46,0,0,0,2.24,0,3.34,0,0,0,3.62,0,0,0,0,0,0,4.05,0,12.56,0,0,3.83,270.25,5.77,1.46,0,0,0,1.71,0,0,2.28,58.61,0,0,0,0,0
 48-58,0,0,0,0,3.36,25.4,1.06,0,0.7,9.47,0.56,0,0,0,0,0,0,0,22.3,0.8,0,2.24,370.38,1.71,0.97,1,0,0,0,0,0,0,68.84,0,0,0,0,0
 60-70,0,0,0,0,0,57.4,0,1.09,0.7,18.74,0,1.09,0,0,0,0,0,0,31.76,0,3.12,7.48,444.5,0,0.74,1.55,0,0,4.57,0,0,0,92.19,0,1.29,0,0.98,0
 72-82,0,0,0,1.79,0,39.64,0,0,1.58,29.82,0,0,0,0,0.73,1.93,0,0,18.26,0,0.51,1.57,342.27,0,4.12,2.27,0,0,0,0,0,0,35.85,2.34,0,0.83,0,1.88
 84-94,0,0,0,2.29,9.81,42.03,0,0,0,28.22,0,0,0,0.78,0.62,0,0,0,15.18,0,0,2.53,243.35,0,0,3.1,0,4.36,0,0,0,0,29.75,2,3.04,0,0,0
 96-106,0,0,0,4.58,0,26.18,0.9,0,0,42.2,0.74,0,0,0,0,1.5,0,0.6,25.47,0,1.41,0,154.97,0.75,1.58,3.46,0,0,0,0,0,0,26.61,1.68,0,0,0,0
108-118,0,0,0,3.53,0.69,51.84,0,1.12,0,24.03,0,0,2.11,0,0.51,0.61,0,0,16.37,0.54,0,2.02,213,1.33,0,9.07,0,0,0,0,0,0,10.14,1.88,1.17,0,4.48,0.6
120,0,0,0,7.85,0,21.65,0,0,0,25.93,0,0,0,0,1.05,1.11,0,0,16.6,0,0,1.44,385.63,0,0,0,0,0,0,0,0,0,6.81,2.82,0,0,0,0
