stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,16.4,60.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.78,0,0,0,0,0,0,0
  5-6,10,14.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.59,0,0,0,0,0,12.96,0,0,0,6.42,0,0,0,0,0,43.07,22.54,0,0,26.39,0,0,0,0,0,0,0,0
 10-12,0,3.43,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,92.19,250.98,0,0,39.17,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.14,0,1.19,0,0,0,0,0,0,0,0,1.66,17.28,494.49,0,0,1.09,0,5.96,1.56,0.91,2.19,5.62,0,0
 24-34,0,0,0,1.41,0.66,3.85,0.82,0,0,0,0,0,0,3.2,0,1.62,19.22,100.15,0,0,0,0,0,0,0,0,9.49,0,0
 36-46,0,0,0,0,1.23,0,0,0.62,1.94,0,0,0,0,4.85,0,0,7.24,126.53,0,0,0,0,0,0,0,0,12.86,0.6,0
 48-58,0,0,0,0,0,0.58,6.39,0,2.77,0,0,0,0,2.44,1.42,2.74,33.43,71.26,0,0,0,0,0,0.43,0,0,6.74,0,0
 60-70,0,0,0,0,0.81,0,4.44,0,0,0,0,0,0,20.93,0,0,14.8,43.54,0,0,0,1.66,0,0,0,0,7.36,0,0
 72-82,0,0,0,0,0,0,7.97,0,7.39,0,0,0,2.6,18.11,0,0,13.02,28.75,0,0,0,0,0,0,0,0,4.71,0.52,0
 84-94,0,0,2.22,0,0,0,4.65,2.35,4.5,0,0,0.56,0,20.16,0,0,17.28,40.56,0,0,0,0,0,0.74,0,0,0.98,0,0
 96-106,0,0,0,0,0,7.83,2.62,0,0,0,0,0,0,11.89,0,0,25.41,45.52,0,0,0,0,0,3.39,0,0,0,0,0
108-118,0.67,0,0,0,0.51,0,2.29,0.43,0,0.41,0,0,0,16.54,0,0,9.17,71.29,0,0,0,0,0,2.28,0,0,0,0,2.73
120,2.23,0,0,0,0,0,3.89,0,0,0,0,0,0,11.52,0,0,20.38,167.29,1.49,4.54,0,3.62,0,2.08,0,0,2.96,0,0
