stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.56,58.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.11,0,14,0,0,0,0,0,0,0,0,0,0,0,31.59,16.03,0,3.36,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.48,1.07,0,0,0,0,0.98,0,0,0,2.05,0,0,7,0.83,0.83,0,6.65,1.11,0,1.87,0,2.06,0
 24-34,0,0,0,2.8,0,1.42,0,0,0,0,0,0,0,4.17,0.69,0,5.45,2.82,0,0,24.56,0,0.68,1.45,0,9.34,0
 36-46,0,0,0,1.82,0,0,0,0,0,0,0,0.56,0,0,1.5,0,2.17,0.55,0,0,59.97,0,0,1.12,0,0.57,0
 48-58,0,0,0,2.61,0.78,2.97,12.91,0,0,0,1.74,0,0,0,0,1.53,3.22,4.84,0,0,20.01,0,0,2.4,0,1.98,0
 60-70,0,0,0,3.56,0,1.18,0,0,0,0,0,0,0,0.61,0,0.9,2.58,7.28,0,0,26.05,0,0,0,0.59,4.14,0
 72-82,0,0,0,0,2.64,0,3.04,2.53,0,0,0,4.1,0,0.7,1.43,0,4.3,1.38,0,0,18.58,0,0,0,0.78,8.01,0
 84-94,0,0,0,0.71,0,0.66,0,0,0,0,0,1.47,0,1.32,0,0,2.86,0,0,0,37.49,0,0,0,0,0,0
 96-106,0,0,0,2.79,0,0,0,0,0,0,0,2.38,0.63,3.14,0,0,7.95,2.03,0.57,0,44.44,0,0,0,0,1.03,1.88
108-118,0,0,0,2.23,2.17,0.45,0,0,0.45,0,0,0,0,2.32,0,0,3.51,0,0,0,35.09,0,0,0,0,0,0
120,0,0,0,11.91,0,4.39,0,0,11.44,0,0,2.01,0,4.94,0,0,38.36,0,0,0,51.43,0,0,0,0,0,0
