stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,21.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.34,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.8,13.71,1.15,0,0,0,2.03,0,1.02,0,0,7.96,0,1.1,0.97,0,0,19.94,2.73,0,1.02,19.29,1.17,3.27,1.06,6.97,0,0,0
 24-34,0,0,0,2.68,0.67,0,0,0,13.22,0,0,0,0,34.9,0,1.43,4.28,0,1.18,28.08,2.17,2.86,1.16,38.72,0,6.13,0,17.47,0,0,0
 36-46,0,0,0,3.09,0,0,0,1.82,7.57,0.61,0,0.88,0,13.21,0,2.97,2.05,0,0,19.59,0,2.68,6.26,46.15,0,11.01,0,12.56,0,0,0
 48-58,0,0,0,4.79,0.51,0,2.52,0,6.84,0.39,1.5,0.5,0,9.43,0,2.61,3.16,0,0.4,4.74,0,1.44,0,10.91,0,8.2,0,11.28,0,0,0
 60-70,0,0,0,4.91,1.44,0,0,0,8.06,0,2.43,0,0,10.61,0,3.36,0,0,0,7.28,0,0.73,0,3.54,0,0,0,3.44,0,0,0
 72-82,0,0.62,0,3.81,2.2,0,0,0,7.86,0,0.55,0,0,6.4,4.18,8.26,1.36,0.7,0,0,0,2.98,4.41,0,0,0,0,19.6,0,0,0
 84-94,0,0,0,7.18,1.04,0,0.57,2.2,12.52,0,2.28,0,0,20.76,0,3.48,0.89,0,0,2.46,0,0.71,0,3.15,0,1.81,0,4.58,0,0.63,1.25
 96-106,0,0,0,9.82,9.12,2.92,0,0,9.29,1.9,0,0,0,21.54,0,3.87,0.81,0,0,16.89,0,0,0.63,2.94,0,0,0,5.58,0,0,0
108-118,0,0,0,4.5,0,0,0,1.83,3.37,0,0,1.01,0,30.79,0.94,5.05,1.08,0,0,12,0,0,4.22,1.45,0,1.02,0,1.14,0.96,0,0
120,0,0,0,9.49,0,0,0,0,0,0,0,0,1.18,22.47,4.94,21.27,0,0,0,4.24,0,0,0,0,0,0,0,7.1,0,0,0
