stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,hatching_gland,immune,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  5-6,46.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.8,0,0,0,0,0,4.32,0,0,0,0,16.25,8.48,0,0,0,0,0,0
 10-12,18.92,0,0,0,0,0,0,0,0,0,0,0,0,45.57,7.9,0,0,0,8.16,0,0
 14-21,0,0,0,0.95,1.21,0,0,0.85,0,0,0,1.23,0,14.96,0,0,0,0.83,0,4.55,4.77
 24-34,0,0,0,0,2.05,0,0,0,0,0,0,0,0,45.57,0,0,0,0,0,0,0.65
 36-46,0,0,0,0,1.78,0,0,0,0,0,0,0.89,0,58.07,0,0,0,0,0,0,3.55
 48-58,0,0,0,0,5.87,0,0.38,0,0,0,1.33,2.28,0.44,43.15,0,0,0.85,0,0,0,1.48
 60-70,0,0,0,0,3.86,0,0,0,0,2.45,0,0.88,0,92.88,0,0,0,0,0,0,0
 72-82,0,0,0,0,7.53,0,0.5,0,0,0,0,7.14,0,102.27,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.72,0,0,0,0,0,0,1.99,0.75,53.79,0,0,0,0,0,0,0
 96-106,0,1.78,0,0.71,24.1,0,0.71,0,0,0,0,2.73,0,87.35,0,0,0,0,0,0,0
108-118,0,0,0,2.52,0.44,0,0.99,0,0,0,0,0.85,0,71.49,0,2.29,0,0,0,0,0
120,0,0,0,0,1.99,1.91,9.04,0,0,1.43,0,0,0,2.89,0,0,0,0,0,0,0
