stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,10.58,90.98,63.31,0,30.32,0,1.69,0,7.37,9.07,4.66,5.36,0,3.81,0,0,0,1.89,51.88,0.99,0,26.2,433.04,18.08,0.89,3.02,9.86,0,49.77,0.91,57.46,4.75,5.78,70.96,131.39,0,0,33.12,0,1.85
 24-34,0,6.94,61.32,17.6,0,87.22,0.94,14.09,2.3,19.15,4.33,0,7.15,0,9.64,0.85,10.3,0.96,3.41,120.62,7.29,0,51.11,968.67,30.09,2.13,13.22,0,0,77.22,0,0,6.85,8.31,24.98,211.95,0,0,174.57,0,5.39
 36-46,0,0.84,48.52,0,0,93.48,3.33,15.57,5.39,71.44,0.61,0,19.87,0,5.36,3.26,2.91,2.6,3.42,220.85,1.68,2.11,66.83,608.99,4.64,3.71,7.82,23.5,1.69,105.58,0,0,21.91,2.84,0.7,157.65,0,0,80.08,0,2.06
 48-58,0,0.44,35.56,2.22,0,162.39,3.41,7.91,11.05,133.35,1.99,1.7,12.05,0.42,2.59,2.32,1.37,1.29,14.57,313.16,3.47,8.96,47.01,378.42,28.61,2.04,12.08,0,1.48,74.11,0,0,3.33,6.28,0,124.43,0,1.98,98.74,0.48,14.56
 60-70,1.48,0,29.17,0,0,184.02,11.38,23.46,16.22,114.13,11.76,0,19.49,9.97,0,9.2,3.37,2.44,1.56,319.48,5.49,18.45,32.63,209.79,8.54,2.82,4.8,0,14.59,43.73,0,0,5.89,11.83,0,47.22,2.45,12.16,67.89,7.72,15.36
 72-82,3.75,0.75,38.45,0.96,1.22,224.52,13.85,16.55,18.53,147.35,17.34,1.15,13.77,2.71,7,12.97,5.1,4.67,14.8,422.16,9.56,13.98,43.32,203.14,9.69,2.06,17.82,0,2.96,83.09,0,0,2.81,1.81,0,25.26,1.53,16.67,147.92,20.43,17.13
 84-94,0,1.01,58.04,1.03,0.86,253.77,17.86,11.27,8.54,111.97,37.26,1.95,6.27,2.34,9.14,10.38,3.51,1.12,12.87,391.57,14.96,21.95,27.72,142.52,10.43,4.92,9.11,0,20.83,147.01,0,0,4.74,2.48,0,8.33,7.55,13.7,140.19,30.46,4.76
 96-106,5.62,0,62.89,13.62,1.76,258.71,7.32,20.72,15.79,125.85,39.08,0,14.44,13.22,3.08,5.5,3.33,4.4,3.04,326.23,29.24,13.57,35.89,126.38,2.96,4.39,11.84,0,15.48,183.58,0,0,1.45,0.84,0,10.77,14.39,7.29,179.11,24.66,15.23
108-118,5.97,0,88.38,1.8,6.33,246.43,14.6,30.42,11.04,127.6,37.71,0,9.87,12.21,16.01,22.71,4.61,2.47,2.21,333.37,18.77,22.37,41.63,172.39,2.93,1.71,24.87,0,14.35,116.69,0,0,2.14,2.24,0,0.58,8.3,8.42,100.98,7.65,20.48
120,0,4.41,74.9,29.3,7.47,277.35,11.36,51.73,20.26,102.4,47.7,5.2,3.86,8.88,14.35,10.62,8.28,2.06,0,313.58,2.8,56.75,26.82,169.9,27.21,19.2,25.51,0,9.21,97.85,0,0,8.78,0,0,23.82,4.05,15.85,124,61.05,4.96
