stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0.94,0,0,0,0,0,0,0
 24-34,1.6,0,0.91,0,0,1.39,0,69.18,0,0,5.86,0,11.48,11.52,0,0,0.75,0,2.96,3.09,1.98
 36-46,0,0,0.62,0,1.16,0,0,61.6,0.56,0,15.92,0.71,0.66,5.51,0,0,0,0,0,7.03,0
 48-58,0,0,4.57,0.62,0,0,0,64.12,0,0,0.42,2.96,0,11.04,0,7.02,0,0,0,2.36,0
 60-70,0,0,0,1.93,0,0,0,12.46,0,0,6.64,0,0.68,7.93,0,0,0,0.57,0,0,0
 72-82,0.84,0,7.88,0,0,0.67,0.92,4.76,0,0,0,0.85,0,5.37,1.3,0,2.64,0,0,0,0
 84-94,0,1.57,1.43,1.03,0.91,1.52,0.86,23.41,0,0,3.52,0,0,0,0,0,0,0,0,1.05,0
 96-106,0,0,0,0,0,5.21,1.19,1.33,0,0,0,0,0,0,0,0,0,0,0,1.69,0
108-118,0,0,0,2.7,1.5,3,1.56,1.02,0,0,0,0,1.38,0,0,0,0,0.47,0,0,0
120,0,0,10.32,0,0,0,0,0,0,5,0,0,0,34.11,0,0,0,1.42,0,0,0
