stage,epidermis,eye,fast.muscle,fin.epithelia,glial,ionocyte,lateral.line,mesenchyme,muscle,neural,periderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,7.84,1.35,0.82,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.44,0,12.52,0.97,0,4.64,0,0,0
 36-46,0,3.43,1.54,0,0,0,0,1.42,0,4.13,3.07,0,1.95,0,0,0
 48-58,0,3.29,0,0,2.67,0,0,1.14,2.93,4.48,4.87,0,1.7,0,0,0
 60-70,0,0,0,2.29,0.76,0,0,0.86,0,1.67,8.71,0,0,0,0,1.29
 72-82,0,12.02,0,0,0,0,0,2.7,0,15.54,3.38,0,0,0,4.22,0
 84-94,1.27,7.15,0,0,0.95,0,0,3.1,0.57,8.17,10.77,0,0,0,0,0
 96-106,0,4.74,0,0,0,0,0,0,0,7.99,36.07,0,0,0,0,1.19
108-118,0,0,0,0,0,0.45,1.02,0,0,4.52,6.73,0,0,0.43,0,0
120,5.58,0,0,0,0,0,0,2.14,0,12.84,10.4,0,0,0,0,0
