stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.84,474.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.44,0,0,0,0,0,0,0,0,0
  5-6,0,73.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,13.48,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,7.91,1.23,0,2.68,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,1.37,43.42,0,0,0.9,0,0,0.99,0,7.65,35.84,0,0,0.82,0,0
 24-34,0,0,0,0,1.43,0.66,0,3.23,0,0,0,2.89,0,0,0,0,0,0,0,0,4.61,0,3.91,373.21,3.32,0,0,0,0,0,0,0,215.98,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,3.82,0,0,0,7.43,0,0,0,0,0,0,0,0,7.24,0,7.61,1198.07,2.77,0,0,0,0,0,0,0,318.52,0,0,0,0,0
 48-58,0,0,0,0,2.47,0,0,129.11,0,0,0,48.56,2,0,0.45,0,0,0,0,0,15.65,0,4.75,2902.73,2.42,0,0,0,0.45,0,0,0,348.64,0,0,0,0,0
 60-70,0,0,0,0,23.59,0,0,738.51,1.47,0,0,100.08,0,0,0,0,0.78,1.66,0,0,14.38,0,3.48,4011.99,10.57,0,0,0,0,0,0,0,379.13,0,0,0,0,6.89
 72-82,0,0,1.14,0,20.09,0.86,0,1486.51,0,0,2.81,151.87,3.99,1.33,0,0,1.4,0,0,0,29.61,1.39,3.05,4999.04,0,0.81,0,0,1.66,0,0,0,358.92,0,3.15,1.97,3.2,7.11
 84-94,0,0,0,0,26.69,0,0,1093.29,0.56,0.71,0.87,130.48,0.72,0,0,0,9.96,0,0,0,53.3,5.8,3,3454.05,3.47,3.87,0,5.65,0.78,0,0,0,180.97,1.9,0.64,0.57,2.11,0
 96-106,0,0,0,0,17.55,5.32,0,1133.22,0.87,0,0.64,98.8,0,0,1.04,1.23,0,0.92,1.58,0.68,32.05,2.98,0,2890.36,0.6,8.86,0,4.89,0,0,0,0,121.12,1.13,2.19,0.68,0,9.55
108-118,0,0,0.54,0,40.68,3.17,0,944.33,0.56,2.46,0,128.51,4.93,6.13,0,0,0,0,0.7,2.99,30.22,0.71,5.99,3046.01,0.68,2.35,0,8.4,0,0,0,0,64.84,0,0,0,1.13,0
120,1.19,0,1.37,0,17.13,8.54,3.69,718.43,18.62,0,0,64.98,0,0,3.35,0,0,0,0,1.51,60.98,9.54,0,3631.67,0,0,0,0,6.05,0,0,0,135.35,0,10.18,4.29,4.47,0
