stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste
 14-21,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.83,0,0
 24-34,1.28,0,0,0,0,0,0,0,0,0.68,0.83,0,0,10.1,0,0,2.39,1.04,0,0,0.84,0
 36-46,0.69,0,0,0,0,0,0,0,0,0,3.26,0,1.3,9.79,0,0.64,0.59,0,0,0,0,0
 48-58,4.46,0,0,0,0,0,0.55,0.4,0.55,0.53,2.85,1.53,0,4.43,0,0,0,0,0,0,0,0
 60-70,1.07,0,0,0,0,0,0,0,0,1.03,7.33,0,0,5.79,0,0,0,0,0,0,0,0
 72-82,0,0,0.59,0,1.5,0,1.3,0,0,0.62,7.76,1.79,0,2.73,0,0,1.65,0,0,0,0,0
 84-94,1.47,0.63,0,0,0,0,2.43,0,0,0,4.21,0,0,6.72,0,0,8.93,0,0,0,0,0
 96-106,1.42,0,0,0.66,0,11.35,0,0,5.43,0,0,6.92,1.18,16.9,0.64,0,10.13,0,0,0,0,0
108-118,4.85,0,0,0,0,7.97,0,0,5.19,0,1.01,7.06,1.94,0,0,0,21.1,0,0,0,0,0
120,2.7,0,0,0,1.26,3.69,0,0,3.65,0,3.11,1.31,2.74,0,0,0,30.16,0,0,0,0,1.06
