stage,epidermis,erythrocytes,eye,immune,ionocyte,lateral.line,mesenchyme,neural,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,8.02,0,6.55,0,0,0,0,0,0,0,0
 24-34,0,4.02,0,30.52,0,0,0,4.87,0,1.02,12.81,0
 36-46,0,4.83,0,83.23,0,0,0,9.78,0,0,7.49,0
 48-58,0,0,0,42.03,0,0,0.57,8.93,0,0.85,15.85,0
 60-70,0,5.62,2.3,64.7,0,0,0,4.08,0,0,32.01,0
 72-82,0,5.43,1.33,106.02,0,1.02,0.73,4.16,0,0,25.78,0
 84-94,0,5.24,0,123.05,0,0,0,5.96,0,0,13.09,0
 96-106,0.94,6.72,13.03,167.4,0.58,0,2.85,3.4,0,0,19.23,0
108-118,0.68,9.22,3.68,159.53,0,0,3.19,6.16,0.7,0,22.67,1.57
120,0,16.77,0,157.56,0,0,0,1.35,1.62,0,14.59,0
