stage,axial,blastomeres,epidermis,eye,fin.epithelia,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,somites,xanthophores
  3-4,9.45,9.47,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,9.46,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,73.12,0,13.36,0,0
 14-21,0,0,0.83,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.92,0,0,0.84,0.88,2.61,0,0,0.6,0
 36-46,0,0,0,1.12,0,0,0.73,0,1.77,0,0,0,0
 48-58,0,0,0,0,2.36,5.75,0,0,1.7,0,0,0,0
 60-70,0,0,0,2.21,0,0,3.96,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,2.39,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.8,0,0,0,0,0,0.8
108-118,0,0,0,0,0,0,3.81,0,3.63,2.95,0,0,0
