stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,446.75,7584.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.64,0,0,0,0,0,0,0,0,0
  5-6,820.08,12099.25,21.22,0,0,0,0,0,0,0,0,32.98,0,0,0,0,0,0,0,0,0,268.79,60.18,0,0,81.58,98.86,0,0,0,0,0,0,0,0,0
  7-9,145.09,105.82,170.46,0,0,282.66,0,0,0,0,0,155.51,0,0,0,0,0,0,0,0,0,3480.57,83.39,0,0,1018.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.33,43.9,0,0,87.25,0,0,0,0,0,10.82,0,0,0,0,0,0,0,0,0,550.76,5.47,0,0,210.84,4.24,5.62,0,4.63,0,0,0,0,0,0
 14-21,0,0,2,7.02,1.92,5.51,0,0,0,1.08,1.85,0,0,0,0,0,0,0,2.7,0,3.95,150.47,8.06,1.81,0.98,3.28,2.86,0,9.58,0.9,0,9.8,33.12,0,3.38,9.35
 24-34,0,0,0,6.17,0,13.29,0,1.33,0,7.88,1.6,0,1.92,0,0,0,4.23,0.78,17.11,0,8.92,174.07,2.56,0,0.77,0,2.07,0,0,0.69,0,0.68,42.12,0,19.02,0
 36-46,0,0,0,6.45,0,25.45,2.15,0.69,0,4.68,0,0,1.53,0.89,0,1.15,0,4.34,7.37,0,3.43,201.4,4.36,0,0,0,0,0,0,0,0,0,31.96,0,11.55,0
 48-58,0,0,0,0,0,15.9,1.64,0,0.86,3.89,0,0,0,0,0,0,0,0.58,5.4,4.21,0.44,63.3,1.98,0,0,0,0,0,0,0,1.01,0,11.6,0,0.92,0
 60-70,0,0,0,4.75,0,16.23,1.07,0,0,2.7,0,0,0,0,0,4.64,0,0,15.85,0,0,18.78,0,0,1.71,0,0,0,0,0,0,0,0.71,0,11.71,0.72
 72-82,0,0,0,0,0,31.09,0,0.51,0,0.55,0,0.52,0,0,1.38,0,0,0,6.72,0,0,25.46,0,0.71,0,0,0,0,0,2.57,0,0,1.29,0,0,0
 84-94,0,0,0,0,0,24.12,0,2.29,0,4.49,0,0,0,0,0,0.89,0,0,7.66,0,0,21.45,0,0,0,0,0,0,0,0,0,0,2.13,0,0,0
 96-106,0,0,0,0,0,7.57,0,0,0,2.6,0,0,0,0,0,0.83,0,0,3.53,0,0,10.15,0.62,0,0,0,0,0,0,0,0,0,3.48,0,1.55,0
108-118,0,0,0,2.29,0,5.25,0,0.62,0,1.81,0,0,0,0,2.41,0,0,5,1.78,0,0,3.59,1.67,0.55,0,0,0.91,0,0,0,0,0,1.38,3.84,7.16,0
120,0,0,0,1.63,0,15.91,0,0,0,20.42,0,0,0,1.69,0,0,0,0,6.17,0,0,72.91,3.05,0,0,0,0,0,0,0,0,0,0,0,5.29,0
