stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.06,614.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.93,0,0,0,0,0,0,0,0
  5-6,95.5,1901.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.47,0,0,0,0,0,25.72,0,0,0,0,0,0,0,0
  7-9,63.98,44.65,0,61.24,0,0,116.87,0,0,0,0,0,36.07,0,0,0,0,0,0,0,0,0,1003.35,51.54,0,0,404.06,0,0,7.32,0,0,0,0,0,0,0
 10-12,0,3.15,0,62.71,0,7.8,7.07,0,0,0,0,0,9.02,0,0,0,0,0,0,0,0,0,142.88,33.29,0,0,110.71,0,0,5.95,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.62,0,1.37,0,0,0,0,0,0,2.78,0,0,0,0,0,5.02,0,6.19,18.79,0,0.94,0,0,0,0,0,0,1.88,5.29,0,2.9,0,0
 36-46,0,0,0,0,0,0,4.68,0,0,0,1.08,0,0,0,0,0,0,0,0,11.41,1.13,0.86,25.8,0,0.8,0,0,0,1.23,2.28,0.67,0,5.9,0,0.62,0,0
 48-58,0,0,0.42,0,2.12,0,9.16,0,2.05,0.68,1.92,1.57,0,0,0,0,0,0,0.48,27.45,0,1.47,64.13,0,1.66,0,0,7.11,0,0,0,0,9.78,0,2.51,0,0
 60-70,0,0,0,0,0,6.04,13.74,0,0,4.91,0,0,0,0,13.22,0,0,0,0,26.01,0,0.85,40.16,0,1.56,0,0,0,0.9,0,0,0,4.75,0,0,0,2.81
 72-82,0,0,0,0,1.18,23.41,54.33,0,0,3.42,6.14,0,0,1.06,16.26,0,1.78,0,2.32,64.9,2.76,0.54,145.47,0,6.54,3.15,0,0,0.52,0,0,0,18.92,2.45,13.15,2.26,10.53
 84-94,0,0,0,0,2.19,2.43,10.03,0,0,0.77,0,1.68,0,1.02,15.62,0,0,0,5.93,17.12,7.75,5.06,49.27,0,0,0,0,0,1.95,0,0,0,0,2.72,7.92,2.34,0
 96-106,0,0,0,0,4.78,21.43,42.32,0.9,0,1.71,12.8,0,0,2.91,23.42,0.69,0.91,0,0,48.02,2.91,3.88,145.25,0,6.86,1.99,0,0.79,10.17,0,0,0,4.21,1.76,27.81,0,14.35
108-118,0,0,0,0,3.63,11.24,17.61,0,1.03,1.57,9.68,1.6,0,0.69,18.39,1.22,2.92,0,10.44,29.84,2.61,0.75,54.86,0,2.13,0,0,0,13.33,0.42,0.49,0,4.47,0.57,15.44,0,6.07
120,0,0,0,0,8.28,1.89,17.38,2.11,0,0,4.93,2.37,0,0,51.89,0,1.59,1.48,8.92,30.28,2.75,0,77.42,0,4.96,0,0,0,18.34,0,0,0,16.48,0,18.14,0,0
