stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,2.42,3.38,0,0,0,0
 24-34,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,2.44,0,0.66,0,0,0,0
 36-46,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,3.14,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,2.01,0,0,1.09,0,0,0
 60-70,0,0,0,74.67,0,0,0,1.28,0,0,0,0,0,0,0.61,0,0,7.18,0,0,0,0,0,0,0,0,0
 72-82,0,2.44,0,743.6,0.82,1.5,0,5.35,0.81,0,0,0,0,0,4.6,0,1.05,13.64,0,0.76,2.08,0,0,0.76,2.31,0,0
 84-94,0,5.91,0,1128.59,0,0,0,1.29,0,0,1.3,0,0,0,1.17,0,0,6.32,0,0,4.57,0,0,1.92,0,0,0
 96-106,0,5.33,5.72,1883.94,2.04,1.25,3.06,7.39,2.9,0.78,0.66,0,0,0,7.63,0,0,44.8,0.73,0,6.37,1.19,0,4.1,0,3.89,0.82
108-118,0.91,15.32,3.24,2039.2,0,2.16,0,3.22,0.91,0,0,0.69,4.09,0.58,15.08,2.89,9.15,69.14,1.41,2.56,2.1,0,0,4.05,0,2.4,0
120,0,28.38,9.09,3561.88,0,2.29,0,42.53,1.4,0,2.01,0,0,0,30.52,0,0,124.81,0,11.98,5.05,0,0,0,0,15.97,9.97
