stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.06,704.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.98,933.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,0,0,39.54,0,0,0,0,0,0,0,0,0,0
  7-9,25.26,31.19,0,49.02,0,0,0,51.34,0,0,0,0,12.93,0,0,0,0,0,0,0,0,0,0,0,661.74,7.99,0,0,236.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.05,0,8.86,0,0,0,21.14,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,448.89,14.55,0,0,110.95,0,0,4.76,9.63,0,0,0,0,0,0,0,0
 14-21,0,0,2.06,2.2,31.64,10.78,0,15.46,0,0,9.71,0,0,1.45,0,0,0,0,0,0.86,23.32,0,0,14.2,358.69,5.33,1.03,1.28,6.85,0,7.85,31.9,1.93,1.39,44.81,111.97,0,0,6.23,0,0
 24-34,0,0,0,0.67,4.13,0.62,0,14.03,0,1.44,4.24,2.05,0,0.76,0,0,0,0,0,0,22.13,0,0,9.43,288.08,0.85,1.71,0.78,1,0,8.18,0,1.75,0,5.38,69.47,0,0,10.45,0,2.08
 36-46,0,0,0,0,0,0,0,46.93,0,0.63,16.58,1.39,0,0,0,0,0,0,0,0,28.21,0,0.88,12.46,404.45,0,1.19,0,0,0,6.8,0,0.6,5.4,0,92.53,0,1.04,6.4,0,0
 48-58,0,0,0,0,3.93,3.36,0,70.32,0,2.17,16.04,0,0,1.19,0,0.37,0,0.46,0,3.91,33.28,0,0.39,3.72,244.03,0.96,1.36,0,0,0,7.87,0,0,0,0,31.19,0,0.51,3.26,0,0
 60-70,0,0,0.62,0,1.38,0,0,79.56,0,0,18.65,0,0,0,0,0,0,0,2.53,3.44,53.02,2.63,1.09,2.85,202.96,0.63,0,0,0,0,7.74,0,0.58,0,0,40.49,0,0,1.33,0,0
 72-82,0,0,0,0,7.53,0,0,78.63,0,4.92,23.41,0,0,2.23,1.21,0,0,2.37,0,0,35.27,0,2.23,4.53,164.57,0,0.61,4.17,0,0.71,5.86,0,0,0,0,12.55,0,0.93,5.39,3.39,0
 84-94,0,0,0,0,10.58,0,0,58.12,1.62,1.71,17.32,0.68,0,1.22,0,3.51,0,0,1.81,0,31.03,0,1.17,3.13,103.53,0.91,1.3,2.11,0,0,9.76,0,0,0,0,19.87,0,0,0.64,4.13,6.46
 96-106,0,0,0,0,10,0,1.05,58.26,0,2.8,30.51,0.74,0,2.36,0,0,1.9,0,11.09,0,35.09,0,0,6.82,104.64,2.58,4.68,1.53,0,0,3.76,0,0,0,0,9.65,0,0,1.83,0.61,0
108-118,0,0,0,0,3.26,0,0,71.97,0.69,3.16,17.81,1.35,0,1.81,0,0.45,0,0,0,0,46.33,0.46,2.32,3.9,201.91,0,2.94,2.65,0,5.54,5.68,0,0,0,0,16.15,0.51,0,3.61,0,0
120,0,0,0,0,14.31,0,0,52.88,0,0,24.58,1.1,0,0,1.25,0,5.16,2.19,0,0,16.84,0,0,5.77,286.77,3.06,0,0,0,0,7.35,0,9.87,0,0,5.71,0,0,13.54,2.66,2.59
