stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,hatching.gland,liver,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord
  3-4,69.4,1052.57,0,0,0,0,0,0,0,0,0,0,0,0,75.95,0,0,0
  5-6,31.28,481.19,0,0,0,0,0,0,0,0,47.84,0,0,0,17.26,0,0,0
  7-9,8.46,5.04,3.87,0,0,6.99,0,13.99,0,0,116.43,3.71,0,30.84,0,33.25,0,0
 10-12,0,0,0,0,0,7.83,0,0,0,0,29.86,5.94,0,7.53,0,6.03,4.93,0
 14-21,0,0,1.07,0,1.84,0,0,0,0,0,2.8,0,0,0,2.05,0,3.02,0
 24-34,0,0,0,0,0,0.65,0,0,0.6,2.86,2.49,0,2.01,0,1.54,0,0.85,1.85
 48-58,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 60-70,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0
 96-106,0,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0.75,0,0,0
120,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0
