stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 60-70,0,0,0,0.94,0,0,0,0,0,0,8.19,0,0,0,0,16.62,0,0,0,11.3,0,0,0,0,0,0,0,2.26,0,0,0,0,1.74
 72-82,0.95,0.92,0,6.64,0,0,0,0,0,0,1167.7,0,0,0,0,4.11,0,0,0,95.73,0,1.28,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.09,0,0,0,0,0,0,502.45,0,0,0,0,1.06,0,0,0,5.39,0,0,0,0,3.47,0,0,0,0,1.15,0.62,0,0
 96-106,5.73,7.35,0.6,551.94,1.43,0.64,1.62,28.07,5.51,2.94,6066.36,6.99,13.16,1.49,8.94,24.04,2.18,0,0.7,221.44,1.17,1.25,1.77,0,28.94,0,0,2.44,0,0,0,0,28.53
108-118,4.29,1.53,11.76,54.22,0,2.46,0.66,19.83,1.54,0,7880.81,47.38,0.52,0,6.12,162.68,0,3.24,2.82,114.58,0,0,1.23,4.96,11.88,55.78,0.42,0,0.51,0,3.16,1.62,0
120,25.3,3.51,1.14,980.25,0,1.31,0,37.02,3.16,0,17763.15,1.06,0,3.52,1.28,50.31,0,15.97,21.07,306.99,0,0,0,0,4.67,0,0,0,0,0,33.73,7.42,0
