stage,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.03,0,0,0,0,0,0,0,0,0,0,0,0,4.69,0,0,0,2.1,1.17,0,0,0,0,1.76,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.93,0,0,4.75,0,0,0.66,2.09,0,0,0,0
 36-46,0,1.11,0.68,0,0,0.56,0,0,1.33,0,0,1.44,0,0.59,0,0,0,4.1,0,0,0,0,0,0,0,0
 48-58,0,0.6,1.08,0.53,0,0,0.39,0,0,0,0,0,0,1.34,0,0,0,5.93,0,0,0,0,0.58,0,0,0
 60-70,0,0,0,0,0.65,0,0,0,0,0,3.44,0,0,0.89,0,0,0,10.49,0,0,1.67,0,0,0,0,3.62
 72-82,0,0,1.4,0.57,0,0,0.87,0,0,6.84,0,1.69,0,3.24,0,0.97,0,1.39,0,0,0,0,2.23,0,0,0
 84-94,0,5.23,3.53,0,0,0,0,0,0,0,0,2.12,0,6.29,0,0,3.61,10.75,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0.87,0,0,0,8.42,0,0.58,0,0,0.67,0,0,0
108-118,0,2.07,0,0,0,0,0,0.51,0,0,1.1,0,0.53,0,0,0,0,11.18,0,0,0,0,0,0,2.26,0
120,0,1.21,0,0,0,0,0,2.75,0,0,0,17.16,0,3.45,0,0,4.51,5.29,0,0,0,0,0,0,0,0
