stage,eye,glial,lateral_line,mesenchyme,neural,spinal_cord
  7-9,0,0,0,0,5.02,0
 14-21,0,1.09,0,0,0,0.95
 36-46,0,0,0,0,2.15,0
 48-58,0,0,0,0,2.49,0
 72-82,0.79,3.6,0.88,2.98,1.89,0
 84-94,0.98,6.12,0,0,0,0
 96-106,0,20.16,0,1.02,0,0
108-118,0,3.39,0,1.38,4.75,0
120,0,3.15,0,0,0,0
