stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,112.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0,0,0,0,0,0
  5-6,0,182.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0
  7-9,5.16,16.8,0,23.45,0,0,0,40.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.55,8.77,0,0,123.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.35,0,5.65,0,0,0,32.71,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,239.31,7.18,0,0,104.85,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.67,10.44,1.23,0,7.71,0,0,1.51,0,0,0,0,0,0,8.32,0,6.33,0,0,7.12,88.53,0,1,1.71,0.91,0,1.48,10.02,2.37,5.49,25.91,0,0,0,0,0
 24-34,0,0,0,0,2.75,0,0,17.26,0,0.71,5.61,0,0,3.33,1.56,1.64,0,6.27,0.62,22.89,0,0,3.35,119.13,0.59,0.85,5.59,0,0,1.66,0.93,0,2.63,29.62,0,0,14.25,0,0.77
 36-46,0,0,0,0,13.4,3.26,0,15.84,0,0.58,5.27,0,0,13.63,0,11.79,0,0.67,0.7,7.09,0,0.86,4.1,87.25,0,0,1,0,0,1.38,0,0,0,17.11,0,0,1.01,0,0.74
 48-58,0,0,0,0,6.17,0,0,33.56,2.07,0.4,10.44,0,0,5.66,0.38,0.38,0,0,0,11.36,0,1.43,2.98,73.61,0,3.34,0,0,0,7.92,0,0,0,9.23,0,0,5.31,0.5,12.11
 60-70,0,0,0,0,1.47,0.62,0,64.55,2.35,0.62,7.65,0.64,0,19.12,0,1.14,0,1.35,0,14.37,0,1.2,3.25,77.41,0,1.43,0.68,0,0,5.95,0,0,0,5.43,1.22,0.94,0,0,0
 72-82,0,0,0,0,8.83,10.31,0,49.39,1.81,0,4.82,1.05,0,19.18,0,0,0,0,0,18.19,0,1.45,0.52,40.54,0,1.05,0,0,0,2.17,0,0,0,6.05,0,0.72,4.49,1.66,14.27
 84-94,0,0,0,0,2.84,9.63,0,11.98,0.67,2.08,14.88,1.24,0,4.54,1.36,3.12,0.78,2.6,0,16.95,1.23,3.08,0.77,28.86,0,0.6,5.24,0,0.79,1.19,0,0,0,1.6,0,2.96,0.64,2.54,3.19
 96-106,0,0,0.94,0,3.63,4.29,0,34.57,0.76,0.96,16.22,1.43,0,6.03,2.22,0,1.7,7.8,0,12.66,0,0.8,1.08,20.45,0,0.64,0,0,0,2.63,0,0,0,3.2,0,0.78,2.42,1.83,0
108-118,0,0,0,0,5.87,3.67,0.65,40.42,0.86,5.58,7.39,0.65,0,7.07,0,0,0.43,9.73,7.61,8.44,0,0,4.26,37.42,0,0.64,0.52,0,0,5.87,0,0,0,0,1.89,0,1.89,0,1.72
120,0,0,0,0,5.65,5.08,0,26.3,0,0,21.4,4.04,0,4.59,0,2.23,8.05,6.88,1.6,6.18,2.8,2.61,0,51.34,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0
