stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,521.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,185.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,7.5,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.42,0,0,0,24.31,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.88,16.11,0.93,0,0,0,0,0,0,0,0,0,0.84,0,24.3,1.89,0,0,0,0,1.83,0,1.63,9.02,0,0,0
 24-34,0,0,0,0,3.24,0,1.85,0,0,0,1.83,0,0,0,0,0,0.85,0,80.19,0,2.02,1.55,0,0,0,0,1.57,15.62,0,2.84,0
 36-46,0,0,0,0,0,0,2.21,0,0,0,4.93,0.57,0,0,0,0,6.96,0,80.11,0,0,0,0,0,0,0,0,6.29,0,0,0
 48-58,0,0,0,0,0,0,8.14,0,0,0,6.78,0,0,0,0,0,4.55,0,176.34,0,0,0,0,0,0,1.23,0,10.66,0,0,0
 60-70,0,0,0,0,3.34,0,27.07,0,0,0,19.1,0,0,0,0,0,6.75,0,427.74,0,0,0,0,0,0,0,0,31.4,0.8,0,0
 72-82,0,0,0.95,0,1.73,0,31.42,0,0,1.29,10.04,0,0,0,0,3.31,31.34,1.87,654.57,0,1.1,1.79,0,1.42,0,2.21,0,36.7,0.93,1.53,0
 84-94,0,0,0.66,0,2.77,2.07,35.5,0,0,9.93,7.61,0,0,0,0.81,0,12.72,0,335.18,0,0,0,0,0,0,0,0,25.74,0,0.57,3.45
 96-106,0,0,0,0,1.94,0,16.28,0,0,0,16.47,0,0.57,0,0,0,35.81,0,379.08,0,0,1.14,0,0,0,0,0,16.6,0.69,0.91,0
108-118,0,0,0,0,1.06,0,7.94,1.3,1.28,2.73,5.86,0,0,1.06,1.67,0,33.67,0,317.27,0,0,1.99,0,0,0,0,0,24.78,0,0,0
120,0,0,0,0,11.7,0,52.66,7.44,0,0,3.78,0,0,0,0,0,8.87,2.52,833,0,1.15,7.18,0,0,0,0,0,4.03,0,0,14.75
