stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.57,37.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.62,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,1.8,30.93,0,0,0,0,0,0,0,4.08,0,0,1.02,13.48,0,0,0,0,0
 24-34,0,0,0.61,2.58,0,7.93,0,0.8,0,3.68,0,0,0.6,0,0,0,9.52,0,4.75,305.19,0,3.31,1.7,0,0,0,0,0,0,0,4.92,46.07,0,0,2.15,0,0
 36-46,0,0,0,5.73,0,60.16,0,1.06,0.65,12.48,0,0,0,0,0,0,12.44,0,5.28,724.4,0,2.93,1.55,0,0,9.25,0.81,2.14,4.71,0,0,133.25,0,0,0,0,0
 48-58,0,0,0,1.7,0,136.35,0,0,4.88,33.17,0,0,0,2.03,4.24,0,24.2,2.64,3.35,850.61,7.62,1.25,2.54,0,0,0,0,0,0,0,0,171.99,0,0,0,0,0
 60-70,0,0,0.57,4.24,0,214.42,0,0,0,47.72,0,0,0,0,0.72,0,45.39,0,5.18,778.26,1.09,2.19,0,0,0,1.68,0,0,0,1.48,0,116.53,0,0,3.24,0,0
 72-82,0,0,0.78,4.05,0,265.65,0,0,3.28,38.77,1.88,0.59,0,3.32,1.76,0,60.11,0,6.9,657.34,0,5.33,0.53,0,0.72,0,0,0,0,0,0,105.05,0.92,2.99,4.53,1.15,4.01
 84-94,0,0,0,4.51,0,111.3,0.7,1.79,0.64,21.45,0,2.72,0,2.25,0,0.68,39.08,2.3,2.91,451.57,0.57,1.47,0.69,0,0,1.84,0,0,0.67,0,0,67.31,0,0.84,3.13,2.03,10.03
 96-106,0,0,2.85,2.02,0,80.12,0,1.43,0,35.84,1.57,0,0,0,0,0,41.22,1.72,2.83,298.45,0,2.84,1.21,0,3.28,0.56,0,0,0,0,0,10.62,0,0.66,17.9,0,0
108-118,0,0,3.05,5.96,1.56,82.62,0,1.41,2.02,53.13,0,2.13,0,1.62,0,0,58.06,0.93,4.24,424.82,0.77,3.59,1.52,0,3.33,0.73,0,0,0.43,0,0,32.11,0,0,6.02,0.65,1.23
120,0,0,0,1.08,0,129.31,7.84,0,0,30.09,0,1.18,0,0,0,0,32.43,1.45,1.56,394.31,0,4.82,15.64,0,0,0,0,0,1.58,0,0,11.84,0,0,0,27.04,0
