stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.24,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.83,0,0,0,0,0,0,0,1.96,0,54.49,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,1.01,0,1.21,0,0,0,0
 24-34,0.79,0.9,0,0.86,0,0,0,0,2.59,0,415.45,0,0,0,0,0,0.79,0,0,1.11,5.63,0.59,0,0,1.56,0,0,0.82,0,6.55,0,0
 36-46,0,3.26,0,1.5,0,0,3.17,0.72,0,0,823.28,0,0,0,0,0,1.11,2.77,0,0.59,34.32,1.04,0,0,2.37,0,0,3.79,0,16.28,0,0
 48-58,1.67,16.13,0,4.62,0,0,4.35,0,0,0,895.06,0,0,0,0,0,3.03,0.86,0,0.42,34.53,12.18,0,0,0,0,0,9.4,0,73.37,0,6.35
 60-70,5.34,20.29,0,10.87,0,0,2.59,0,0,0,1089.79,2.14,0,0,0,0.59,31.78,1.91,0,0,15.11,4.34,0,0,3.8,0,0,3.33,0,91.57,0,3.57
 72-82,3.64,60.21,0,18.93,0,0,4.34,0,0,0.89,1467.46,0,0,1.02,3.31,3.86,64.8,4.22,0,3.34,65.92,0,0.5,0,1.14,0,0,0,0,133.92,3.73,0
 84-94,2.13,69.94,0,7.05,0,0,7.9,0.92,0,0,1915.39,0,0,0,0,0,77.68,4.38,5.51,0.94,26.69,12.9,0,3.56,3.58,0,0,4.88,0.84,102.23,0,0
 96-106,20.5,159.16,0.63,42.08,0,0,12.59,1.71,0,0,2473.59,2.15,0.75,2.5,7.02,0,87.36,4.77,3.81,2.33,56.07,0.73,2,0.57,7.9,0,0,0,0,199.67,0,0
108-118,5.76,103.42,1.84,20.18,1.08,1.39,15.62,7.74,0,0,2461.62,0.49,0.82,0,0,2.02,43.54,6.15,0.97,1.38,71.17,2.65,2.46,0,13.33,0,4.77,3.64,0,154.37,0,0
120,43.35,168.23,0,53.57,0,0,8.72,1.72,0,0,3512.2,0,0,3.44,1.34,0,46.41,0,0,17.64,107.63,9.03,0,18.17,1.09,0,0,2.04,0,152.44,0,0
