stage,axial,erythrocytes,eye,glial,hatching.gland,muscle,neural,olfactory,periderm,spinal.cord,vasculature
  7-9,10.05,0,0,0,3.97,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.82,0,0,0,0
 24-34,0,0,0,0,0,0.84,2.3,0,0,3.98,0
 36-46,0,0,0,1.38,0,0,3.14,0,0.86,0,0
 48-58,0,0,0,1.97,0,0,11.15,0,2.22,0,0
 60-70,0,0,2.64,0,0,0,8.23,0,0,10.52,0
 72-82,0,3.99,3.35,0,0,0,1.9,3.38,0,0,0.59
 84-94,0,0,0.69,0,0,0,5.35,0,0,0,0
 96-106,0,0,1.69,0,0,0,5.2,2.77,0,0,0
108-118,0,0,0.93,0,0,0,3.45,4.33,0,0,0
120,0,0,0,0,0,0,13.62,15.55,0,0,0
