stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.74,106.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,176.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.39,8.92,0,0,11.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,3.73,0,0,0,0,0,164.57,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.92,0,0,14.9,0,0,0,3.73,0,1.37,0,0,12.2,0,0,1.15,0,1.19,0,0,1.07,93.6,5.34,17.05,2.59,0,0,3.43,1.72,0,0,2.7,23.59,0,0,0,0,0
 24-34,0,0,1.51,0,0,0.95,0,45.5,0,0,1.66,6.75,0,0,0,0,72.11,0,4.58,0,1.64,8.84,5.83,0,1.58,239.4,0,222.12,10.44,0,7.28,0,0,0,0,0.96,54.29,0,0,2.3,0,1.75
 36-46,0,0,1.41,0,37.42,0,0,66.28,0,2.59,0,37.18,0,0,0,9.04,67.4,0,3,0,0.7,2.69,7.95,0,1.58,250.51,0,178.12,8.45,0,1.74,0.81,0,0,0,0,57.17,0,0,0.56,0,11.61
 48-58,0.39,0,0.67,0,6.15,0,0,86.27,0.69,0,0,163.79,1.61,0,0.4,0.54,59.69,1.34,1.94,0,7.07,5.48,9.18,0.52,3.07,212.7,0,150.41,8.71,0,6.32,0,0,0.43,0,0,73.14,0,0,0,0,1.07
 60-70,0,0,0.62,0,9.58,0,0,458.14,0,0,2.4,1041.24,1.88,0,0,0,40.43,0,3.22,0,10.46,9.33,1.27,0,1.46,166.48,0,115.49,6.83,0,3.12,0,0,0,0,0,62.07,0,0,0,0,15.65
 72-82,0,0,4.48,0,20.93,1.41,0,1717.54,1.43,0.68,1.82,2343.37,14.83,0,1.5,8.24,74.71,9.7,23.67,1.61,0,44.58,12.44,0,4.38,248.74,0,160.49,7.72,0,3.21,0,0,0.68,0,0,55.02,6.11,2.92,6.96,3.17,3.58
 84-94,0,0,8.12,0,21.29,0,0,2092.15,0.56,0,0,1617.53,10.77,0,0,8.6,85.14,3.6,21.72,4,0,21.88,4.65,3.51,9.1,157.96,0.9,138.39,7.83,0,0.89,0,0,0,0,0,67.17,3.4,0,14.39,1.5,6.72
 96-106,0,0,3.28,2.06,46.8,19.07,0.98,2977.14,2.16,3.62,0.57,2079.69,26.87,0,0.73,4.92,120.05,1.7,30.89,5.9,0,42.93,2.07,3.84,5.52,248.44,0,298.72,13.51,0,25.68,0,0,0,1.49,0,37.94,3.29,1.21,14.6,7.42,0.8
108-118,0,0,5.68,0,29.11,5.6,0,2758.08,0,1.34,3.6,1964.8,15.42,0,0,5.04,77.72,0.73,25.45,0.48,1.71,56.83,0.44,1.48,4.36,242.78,0,203.15,10.28,0,4.27,0.63,0,1.02,0,0,26.5,3.27,1.97,12.32,4.03,4.71
120,0,0,1.37,1.66,48.14,5.83,0,3817.34,0,8.02,9.43,2240.17,28.25,0,1.54,4.83,58.47,0,0,0,0,82.53,2.96,19.84,4.21,382.73,0,255.72,32.7,0,18.41,0,0,6.16,0,0,5.19,0,0,13.76,2.54,0
