stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.37,635.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0
  5-6,37.88,445.21,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,24.42,0,0,0,0,0,0,0,0,0,0
  7-9,29.31,29.23,5.73,0,0,40.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.03,12.84,0,0,117.64,0,0,7.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,38.79,0,0,43.06,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,364.39,19.36,0,0,128.37,0,0,0,0,24.62,0,0,3.28,0,0,0,0
 14-21,0,0,0,11.74,1.34,6.13,0,0,0,7.06,0,0,0,0,0,0,0,0,5.3,0,17.02,81.75,2.22,0,1.95,1.97,0,1.08,0,11.13,0.82,0,4.86,32.12,0,0.82,0,0
 24-34,0,0,0,1.49,0,8.96,0,0.72,0,4.98,0,0,0,0,0,0,0,6.43,17.77,0,1.81,115.21,0,0,4.26,0,0,0,0,0,0.78,1.01,0,34.13,0,2.84,0,0
 36-46,0,0,0,0,0,3.94,0,0.58,1.19,19.67,0,0,0,0,0,0,0,0,11.46,2.51,1.64,126.31,0,4.92,0,0,0,0,0,0,0,0,0,45.9,0,3.33,0,0.67
 48-58,0,0,0,0,1.25,26.47,0.86,0.99,0.38,12.01,0,0,0,0,0,0,0,0,21.47,0.61,1.87,81.18,0.38,1.1,0.44,0,0,0,0,0,0,0,0,20.04,0,2.26,0,0
 60-70,0,0,0,1.17,0,35.18,0,0,0,6.74,0,0,0,0,0,0,0,0,11.3,0,0.57,107.92,0,0,1.86,0,2.35,0,0,0,0,0,0,10.25,0,0,0,0
 72-82,0,0,0,0.52,0,26.4,0,0,0,2.47,0,0,0,0,4.43,0,0,0,31.46,0,1.75,52.78,0,1.7,4.7,0,0,0,0,0,0,0,0,4.44,0,2.53,0,3.74
 84-94,0,0,0,4.89,3.78,28.68,0,0.55,0.86,9.71,0,0,0,0,0,1.7,0,0.96,19.55,0,0,45.1,0,2.07,1.86,0,0,0,0,0,0.7,0,0,20.9,0,1.01,0.98,0
 96-106,0,0,0,0,0,9.93,0,0,0,11.99,0,0,0.96,0.75,0,1.77,0,0,18.67,0,0,51.2,0,1.3,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.26,0.53,8.37,0,0,0,12.07,0,0,0,0,0.54,0.61,2.23,0.51,17.15,1.23,1.01,64.45,0.51,0.43,5.43,0,0,0.46,0,0,0.61,0,0,0.46,1.52,0.64,1.13,0
120,0,0,0,4.97,0,6.59,0,0,22.67,4.72,7.81,0,1.85,0,0,0,0,0,36.97,0,0,12.33,0,0,3.06,0,0,0,0,0,0,0,0,0,2.09,0,0,0
