stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,208.81,5109.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.06,0,0,0,0,0,0,0,0,0
  5-6,124.46,1661.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,0,0,0,6.56,0,14,0,0,0,0,0,0,0,0,0
  7-9,0,17.72,61.01,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,185.17,0,0,0,33.94,0,0,11.14,0,0,0,0,0,0,0,0
 10-12,0,7.98,65.49,0,4.67,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,238.16,4.36,0,0,41.78,0,0,0,0,10.73,0,0,0,0,0,0
 14-21,0,0,0,4.02,8.35,0,2.25,0,0,0,0,0,0,0,0,9.54,9.24,0,0,8.3,14.05,0.81,0,1.02,0.91,0,0,0,2.24,0,5.1,6.92,0,6.51,0,0
 24-34,0,0,0,2.63,0,0,1.05,0,1.35,0,3.16,0,0,0,3.2,0,75.79,0,0,18.44,36.78,0,0,0,0,0,0,0,0,3.16,0.75,8,0,14.89,0,0
 36-46,0,0,0,1.73,1.26,0,1.57,0,1.92,0,0,0.67,0,1.81,1.36,1.55,66.42,0,0,12.99,62.42,0,0,0,0,0,0,0,1.05,5.57,0,7.19,0,2.59,0,0
 48-58,0,0,0,2.95,2.01,0,4.7,3.29,2.51,0.58,0,1.79,0,0,1.37,2.86,72.47,0,0,4.79,20.8,0,0,2.77,0,0,0,0,0,0,0,3.42,0,10.24,0,0
 60-70,0,0,0,2.92,2.16,0,11.73,12.81,1.75,4.13,1.6,1.66,1.1,0,0.63,0,116.34,0,0,2.02,24.71,0.96,0,0,0,0,4.78,0,0,0.63,0,1.19,2.06,18.42,0,0
 72-82,0,0,0,1.16,27.78,0,7.03,3.03,0,0,1.08,5.48,0,0,2.56,0,111.94,0,0,7.95,40.91,0,0,3.04,0,4.65,2.62,0,0,1.09,0,3.29,1.61,23.4,0.52,0
 84-94,0,0,0,0,45.86,0,7.92,3.9,1.45,2.63,1.06,0.7,1.14,0,2.78,2.88,130.99,0,0,2.33,7.39,0,0,0,0,0,0,0,0,1.35,0,0,0,24.07,6.9,0
 96-106,0,0,0,2.59,17.88,0,2.65,3.1,1.4,2.36,1.7,0.77,0,0,2.73,0,108.39,0,0.94,4.02,24.15,0,0,0,0,2.69,2.22,0,0,2.06,0,0,2.38,8.94,0,0.8
108-118,0,0,0,3.12,27.69,8.09,7.2,9.12,4.43,0,3.29,3.34,0,0,5.78,1.26,111.61,0.53,0,6.29,18.13,0.44,0.81,0.9,0,0.76,0,0,0,0.48,0,0,1.37,19.45,0,0
120,0,0,0,9.12,24.87,0,6.39,1.67,13.59,0,0,1.61,0,0,1.34,0,206.52,0,0,14.99,33.14,0,1.57,0,0,0,0,0,0,0,0,0,0,14.71,0,0
