stage,epidermis,erythrocytes,eye,fin.epithelia,glial,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,0,5.53,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.13,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.83,0,1.86,0,0
 24-34,0,0,0,0,0.64,0.6,0,0,1.04,0,11.58,0,0
 36-46,0,0,0,0,0,0,0,0,2.14,0,22.9,0,0
 48-58,0,0,0,0,0,5.07,0,0,0,0,0.67,0,0
 60-70,0,0,0,0,7.18,0,1.49,0,0,0,2.58,0,0
 72-82,0.68,0,2.32,0,21.2,0,0,0,1.72,0,5.46,0,0
 84-94,0,0,0,1.68,52.66,3.46,0.98,0,0,0,14.09,0,0
 96-106,0,0,1.39,0,46.88,2.39,2.43,0,1.79,0,7.57,5.18,0
108-118,0.44,0.85,0,0.58,88.74,1.3,0,0.46,5.94,0,0.98,0.46,1.34
120,0,0,0,0,52.13,0,2,0,0,0,5.12,0,0
