stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,17.33,3.78,0,0,0
 10-12,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,33.96,0,0,0
 14-21,0,0,0,0.91,0,0,1.4,0,3.41,3.71,0,3.37,0,0,1.06,0,4.76,0,1.06
 24-34,0,0,0,0,0,0,0,0,0,5.64,0,8.67,0,0,3.58,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,1.04,1.58,0
 48-58,0,0,0,0,0,0,0,0,0,6.87,0,5.83,0,0,0.44,0,0,0.49,0
 60-70,0,0,0,0,0,1.64,0,0,0,2.15,0,3.79,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,1.28,0,0,0,0,8.15,0,0.81,0.9,0,4.89,0,0.49,0,0
 84-94,0,0,0,0,0,0,0,0,0,13.98,0,0,0.68,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.6,0,7.97,1.2,0,1.76,0,0,0,1.08,0,0
108-118,0,0,0.85,0,0,0,0,0.48,0,7.03,0,0.42,0.58,0.6,0.89,0,0,0,5.04
120,0,1.22,0,0,0,0,0,0,0,14.14,0,0,11.95,0,2.67,0,1,0,0
