stage,eye,mesenchyme,olfactory,pronephros,spinal.cord
 24-34,0,0,2.34,0,0.73
 36-46,0,0,1.35,0,0
 48-58,0.64,0,0,0.4,0
 84-94,0,0,32.14,0,0
108-118,0,2.55,0,0,0
