stage,blastomeres,epidermis,erythrocytes,eye,glial,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,12.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,89.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,24.06,0,0,0,4.79,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,25.35,0,0,0,20.6,0,3.81,0,0
 14-21,0,0,0,3.9,0,0,1.29,0,0,15.98,0,0,0,0.92,3.59,0,5.06,2.21
 24-34,0,0.68,0.98,1.5,0,0,0.71,0,0,10.74,0.63,0,0,0,4.72,0,0,2.04
 36-46,0,0,0,0,0,2.66,0,0,0,4.49,0,0,0,0,0.6,0,0,0.86
 48-58,0,3.31,0,1.07,0,0,2.94,0,0.58,12.26,0.38,0,0,0,0,0,0,3.1
 60-70,0,0,0,2.17,0,0,3.78,0,0,6.8,0,0,0,0,1.25,0,0,0
 72-82,0,0.6,0,10.98,0.97,0,3.1,1.07,0,11.36,0,0,0,0,1.04,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.63,0,0,1.09,0,7.4,0,0,0
 96-106,0,0,0,1.14,0,0,3.52,0,0,0,0,0,0,0,1.49,0,0,0
108-118,0,0,0,2.75,0,0,1.03,0,0,1.9,0,1.42,0,0,1.08,0,0,0
120,0,0,0,19.44,0,0,0,0,0,9.29,0,0,0,0,2.38,0,0,0
