stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,56.26,646.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.98,0,0,0,0,0,0,0
  5-6,57.03,286.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.33,0,0,0,7.36,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0,0,24.69,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.97,76.51,0,4.82,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1.23,0,0.96,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,10.15,64.03,0.81,0,0,0.96,0,199.61,0,5.46,0,0
 24-34,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0,0.6,0,0,3.58,0,0,2.78,30.37,4.49,0,0,0,0,0,305.21,1.24,20.07,1.85,0
 36-46,0,0,0,0,0,0,0,0.95,0,0,0.64,0,0,0,0,0,0,9.59,6.41,0,0,0.67,8.27,0,0,0,0.85,0,0,3.6,0,6.07,0,0
 48-58,0,0,0,0,0.71,4.09,0,3.94,0,0,0,0,0,0,0,0.38,0,0,2.81,0,0.46,0,5.21,0.39,0,0,11.22,0,0,2.39,0,2.3,0,0
 60-70,0,0,0,0,4.6,8.33,0,9.05,0,1.01,0,0,1.06,0,0,0,0,5.16,4.61,0,0,3.37,7.16,0,0,0,5.89,0,0,0,0,0,0,0
 72-82,0,0,0.75,0,3.55,97.17,0,12.36,0,0,0,0.88,39.59,0,0,0,0,3.78,4.15,1.23,0,0.51,11.54,0,0,0,22.24,0,0,0,0,4.63,0.5,6.66
 84-94,0,0,0,0,4.09,57.66,0,0.71,0.68,5.96,0,0,79.95,0,0,0.68,0,0,0.96,0,0,0,16,0,0,0,33.84,0,0,0,0,0,2.91,0
 96-106,0,0,0,0,22.26,127.36,0,2.65,0,4.76,0,11.34,181.64,0,0.58,3.99,0,5.56,12.66,1.48,1.24,1.46,40.25,0,0,0,106.28,0,0,0,0,0,0,0
108-118,0,0,2.05,0.74,19.72,105.72,5.13,5.42,0,8.72,1.32,2.64,261.85,0,1.29,0.44,0.43,11.52,6.96,0,5.5,2.1,46.95,0,0,0,75.83,0,0.62,0,0,0,2.33,0
120,0,0,0,0,11.4,40.32,0,14.4,0,10.15,0,0,106.95,0,3.54,6.84,0,0,4.15,0,0,2.34,25.72,0,0,0,91.66,0,0,0,0,2.31,7.88,16.56
