stage,fast.muscle,glial,liver,mesenchyme,muscle,neural,slow.muscle,spinal.cord
 14-21,0,0,0,0,9.07,0.93,0,0
 24-34,0.9,0,0,0,0,9.75,0,2.31
 36-46,3.75,0,0,0,0,13.6,0,0
 48-58,0,1.24,0,0,0,1.08,2.26,0.59
 60-70,0,3.39,0,0.8,3.35,0,0,0
 72-82,1.52,4.03,0,0,0,0,0,0
 84-94,0,1.72,0.67,0,0.58,0,0,0
 96-106,0,6.19,0,0,0,5.82,0,0
108-118,0,5.76,0,0,0,2.92,0,0
