stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,467.27,8802.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.16,0,0,0,0,0,0,0,0
  5-6,534.31,6729.05,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.17,31.79,0,0,43.69,101.05,0,0,0,0,0,0,0,0
  7-9,49.56,39.6,0,10.08,0,0,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653.76,25.82,0,0,136.24,0,39.38,0,0,0,0,0,0,0
 10-12,0,0,0,11.65,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.58,0,0,0,28.27,0,23.01,0,6.52,0,0,0,0,0
 14-21,0,0,1.09,0,8.03,2.63,1.88,0,0,0,0,0,0,0.89,0,0,0,0,0,0,4.06,11.35,0,0,2.08,0,0,3.38,0.98,0,25.6,5.49,7.61,0,0
 24-34,0,0,0,0,2.63,0,0,0,0,0,0,1.77,0,2.46,0,0.63,0,0.59,0,0,0,7.35,0,0,0.78,0,1.2,0,0,0,0,3.04,2.54,0,0
 36-46,0,0,0,0,2.48,0,0,0,0,0,1.53,0,0,6.54,0,0,0,0.79,0,0,0.71,3.66,0,0.84,1.23,0,2.05,0,0,0,1.23,0,0,0,0
 48-58,0,0,0,0,0.72,0,0,0,0,2.27,2.54,0,0,0.38,0,0,0,1.33,0,0,0.65,3.45,0,0,2.34,0,2.47,0,0,0,0.77,0,0,0,0
 60-70,0,0,0,0,3.15,0,0,0,0,0,0,0.64,0,0,0,0.95,0,4.3,0,0,0,2.66,0,0,3.74,0,1.06,0,0,0,0.64,0,0,0,0
 72-82,0,0,0.56,0,3.43,0,0.6,0,0,1.39,3.99,0,0,0,0,2.52,0,1.27,0,0,4.05,0.96,0,0,4.78,0,2.12,0,0,0,0,0,0.66,0,0
 84-94,0,0,0.66,0,3.09,2.63,0,1.17,0,0.94,3.21,6.4,0,1.34,0.75,0.66,0,5.35,0,0,2.78,6,0,0,2.23,0,3.68,0,0,0.74,0,0,0,0,0
 96-106,0,0,3.74,0,9.96,0,0,0,0.8,1.06,3.28,3.36,2.94,4.29,0,6.09,0,6.91,0,0,4.87,19.86,0,0,2.3,0,12.62,0,0,0,0,0,0,2.48,0
108-118,0,0,4.4,0.74,2.86,0,7.43,0,0,0,2.81,8.25,0,3.06,0,0.52,0,1.13,1.08,0,13.4,15.61,0,2.32,4.4,0,6.38,0,0,0,0,0,0,0.42,0
120,0,0,3.64,0,0,0,0,0,0,0,8.57,15.79,0,1.63,0,0,19.08,8.9,0,15.95,5.46,43.16,0,0,0,0,15.33,0,0,0,0,0,0,0,6
