stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.37,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,16.11,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,65.88,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.22,9.08,0,0,0,0,0,12.9,0,0,0,0,0,0,0
 14-21,0,0,3.61,56.02,55.89,93.31,0,0,0,0,0,0,0.96,0.98,5.62,4.41,2.34,0,0,0,0,29.2,1.86,1.03,26.57,5.05,0,0,1.8,69.72,4.77,3.53,1.26,1.06,0,0,0,2.72,0
 24-34,0,0,10.63,28.02,18.5,6.33,0,0.66,0,0,0,0,1.02,0,15.33,1.94,18.01,0,0,2.91,0,5.05,3.54,9.06,43.28,1.36,5.41,0,0,224,0,14.3,3.06,0,10.57,0,0,17.07,0
 36-46,0,0,1.89,0.6,1.66,0.69,0,2.94,0,0,0,0,7.14,0,24.65,1.3,3.46,0,0,7.38,0,1.5,12.47,2.22,44.63,1.13,12.01,1.18,0,291.69,0,6.74,0,0,6.86,0,0,23.49,0
 48-58,0,0,0.65,0,15.74,0,0,7.45,0,0,0.65,2.1,3.31,0,22.2,4.33,6.23,0,0,10.94,0,2.42,3.9,0.54,24.65,2.53,1.85,0,0,240.39,0,5.41,0,0,1.34,0,2.22,31.33,1.46
 60-70,0,0,3.45,0,16.39,1.06,0,6.65,0,0,0,0.59,10.75,0,12.14,5.44,1.41,0,1.02,18.37,0,3.02,0,1.57,28.62,0,3.38,0,0,130.94,0,6.87,0,0,8.63,0.61,3.99,21.52,10.27
 72-82,0,0,2.3,0,1.74,0,0,6.25,0,0,0,1.32,10.12,0,17.02,1.83,0.5,0,0,5.2,0,1.05,3.05,1.73,22.54,0,1.82,0,0,33.11,0,1.75,0,0,1.41,1.01,1.67,36.48,2.8
 84-94,0,0,6.3,0.78,7.48,0,0.9,0.86,0,0,0,2.07,36.33,0,11.28,2.19,3.63,0,0,6.45,0,5.3,0,0,20.07,0,9.41,0,0,173.43,0,0.73,0.62,0,0,4.67,0,25.53,0
 96-106,0,0,0,6.23,14.05,3.68,3.77,23.97,0,2.82,0,2.36,46.61,0,10.38,4.63,2.73,0,1.04,3.68,0,8.52,3.16,0,24.04,0,8.59,0,0,282.91,0,1.77,0,0,4.14,1.22,3.51,31.84,0
108-118,0,0,2.19,9.42,17.09,0,18.11,36.94,1.38,3.67,0,1.58,28.3,0,10.5,2.65,3.92,2.17,0,9.5,0.8,2.8,3.91,1.82,18.73,0,4.86,0,0,198.55,0,2.59,0,0,0,2.11,5.98,17.43,1.58
120,0,0,0,1.66,8.1,0,4.82,0,0,7.58,0,0,22.8,0,14.4,10.7,1.29,0,5.53,3.28,0,7.95,0,0,50.73,0,1.26,0,0,79.34,0,6,0,0,0,5.98,0,9.04,0
