stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,56.26,516.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.35,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.15,727.02,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,15.08,0,28.55,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,22.11,0,20.09,0,0,28.73,0,0,0,0,0,7.29,0,0,0,0,0,0,0,0,0,0,518.75,4.49,0,0,94.97,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.61,0,4.7,0,0,29.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.81,15.41,0,0,166.43,0,0,0,0,35.42,0,7.77,0,0,0,0,0,0
 14-21,0,0,0,2.88,39.1,17.17,18.85,0,0,0,12.47,0,0,0,0,0,2.34,0,1.84,1.84,21.89,0,10.73,332.24,4.11,1.84,2.2,6.5,0,0,1.12,27.65,7.83,0.84,33.3,109.28,0,0,0.9,0,0
 24-34,0,0.83,0,3.58,9.59,1.11,38.97,0,0,3.03,14.52,2.32,0,0.95,0,1.74,0,1.32,0.77,0.97,65.6,0.82,18.08,586.57,2.76,2.73,4.75,0,0,5.14,0,0,0.66,0,8.88,122.07,0,0,20.19,0,0
 36-46,0,0,1.59,0,4.38,0,65.45,0,0,1.82,26.64,0,0,0.89,0.73,0,0,0,0,0.85,48.38,0.8,16.36,445.99,0,1.99,0.89,0,2.66,1.75,0,0,0,0.74,0,139.54,0,0,4.43,0,0
 48-58,0,0,0,0.44,6.53,0,125.7,0,0,3.99,63.35,3.05,0,0.99,6.06,0,0,2.54,1.03,0,60.88,1.35,7.72,400.5,0,2.82,2.38,0,0,4.43,0,0,0,1.39,0,102.86,0,0,1.59,0,25.61
 60-70,0,0,0,0,1.15,0,181.85,0,1.71,6.45,65.55,0,1.21,2.87,0,1.79,6.02,0.79,0,0,57.08,8.66,8.92,438.57,0,0.84,9.73,0,0,0,0,0,0,0,0,79.3,0,0,3.6,0.73,0
 72-82,0,0,0,0.56,2.88,0.68,268.65,0,2.44,4.29,74.14,0.56,0,3.87,2.24,0,1.74,0.56,0,0,116.03,4.87,13.7,482.17,0,3.48,1.67,0,1.2,0.53,0,0,0.5,1.06,0,44.74,0,3.29,5.41,5.71,5.62
 84-94,0,0,1.9,0,7.73,6.22,131.52,0,0,6.36,62.82,1.29,0,0.8,3.28,0,1.44,0,0,0.9,74.03,3.55,9.22,303.3,0.58,0,6.16,0,0,1.92,0,0,0,0,0,32.55,0.97,2.89,5.57,2.41,2.42
 96-106,0,0,0,0,8.07,0,219.63,0,1.61,5.73,61.55,0.71,0,3.11,3.89,0.85,0.63,1.64,0,1.3,79.6,3.4,4.18,245.54,0.62,6.1,0.69,0,6.23,2.53,0,0,0.71,0,0,27.15,3.27,0.77,5.27,2.8,1.42
108-118,0,0,0,0,10.09,2.48,162.85,0.46,1.12,3.43,52.45,0.61,0,2.95,7.19,1.72,5.8,0,1.86,0.6,73.73,1.39,6.74,538.63,1.43,0.43,7.26,0,4.74,0.98,0,0,0,0,0,18.03,2.1,2.42,4.96,0,1.71
120,0,0,0,0,2.94,2.51,103,0,3.44,2.99,26.78,5.05,0,6.72,0,5.55,0,0,0,0,61.93,6.37,4.12,689.25,0,0,0,0,0,3,0,0,7.2,0,0,0,0,0,3.67,0,0
