stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,76.05,490.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,72.22,864.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6,0,0,0,9.43,0,9.78,0,0,0,0,0,0,0,0
  7-9,24.85,12.17,0,18.68,0,0,87.46,0,0,0,0,8.54,0,0,0,0,0,0,0,0,0,0,872.5,33.43,0,0,329.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.64,0,49.6,0,9.45,92.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556.5,12.18,0,0,223.41,0,0,0,19.28,7.28,0,0,0,0,0
 14-21,0,0,0,1.97,21.63,0.82,0,0,0,1.68,0,0,0,0,0,0,0,0,3.01,0,0,8.07,73.03,1.24,0,1.05,0,0,0.96,15.31,0,8.49,28.44,0,0.9,0,0
 24-34,0,0,0,0.7,11.79,0,10.31,0,0,10.33,0,0,0,0,1.87,0,0,0.8,36.99,0,0,7.01,208.7,2.74,5.67,3.93,0,1.61,9.59,0,3.31,1.99,62.74,0,6.42,0,2.31
 36-46,0,0,0,0,8.55,0,11.41,1.7,2.6,4.56,0,0,1.64,0,0,0,0,0,16.28,0,0,6.91,218.86,0.6,0.7,1.13,0,2.1,6.12,0,0,0,57.2,0,0,0,0
 48-58,0,0,0,0,1.26,0,41.75,0,0.41,18.11,0,0,0,0.47,0.38,0,0.92,0,13.43,0,1.29,2.93,231.03,0,2.86,0.76,0,0,3.59,0,1.82,0,46.79,0,0.81,0,2.23
 60-70,0,0,0,0,7.92,0,66.12,6.45,7.98,17.2,0,0,0,0,0,0,0.64,0,21.6,0,0,0.77,174.83,0,0,2.11,0,0,1.25,0,0,0,41.56,0,0,0,0
 72-82,0,0,0,0,6.18,0,97.18,0,0.83,12.03,1.34,0,0,1.11,0,0,2.8,0,19.79,0,1.09,4.4,136.95,0,2.31,1.17,0,0,0,0,0,0,17.58,1.36,0,0,0
 84-94,0,0,0,0,7.6,0,50.77,0,2.68,31.51,3.29,0,0,4.12,0,0,0,0,49.8,0,0,6.49,65.39,0.58,0,0.6,0,0,1.51,0,1.11,0,3.59,1.93,0.63,0,0
 96-106,0,0,0,0,7.59,0,39.1,0,2.97,12.04,1.48,0,1.33,0,0.85,1.05,0,7.05,22.18,6.25,0,0,89.14,0,1.18,1.69,0,5.37,2.56,0,0,0,8.61,0,1.89,0,0
108-118,0,0,0.41,0,3.4,1.75,49.58,0,8.02,20.97,0.54,0,1.35,1.69,0,0.86,2.07,0,36.67,0,2.22,3.11,76.54,0,6.97,3.92,0,0,1.7,0,0.72,0,16.55,0.68,0.66,1.76,0.49
120,0,0,0,0,4.08,0,35.21,2.41,0,26.59,4.49,0,0,10.09,0,0,0,0,46.11,0,0,0,149.56,0,2,0,0,0,0,0,0,0,0,0,22.38,0,0
